County,State,variable,estimate,Sex,Age,Employment
Adams, Indiana,B23001_005,0,Male,16 to 19 years,In Armed Forces
Adams, Indiana,B23001_007,592,Male,16 to 19 years,Employed Civilian
Adams, Indiana,B23001_008,82,Male,16 to 19 years,Unemployed Civilian
Adams, Indiana,B23001_009,408,Male,16 to 19 years,Not in labor force
Adams, Indiana,B23001_012,0,Male,20 and 21 years,In Armed Forces
Adams, Indiana,B23001_014,289,Male,20 and 21 years,Employed Civilian
Adams, Indiana,B23001_015,81,Male,20 and 21 years,Unemployed Civilian
Adams, Indiana,B23001_016,80,Male,20 and 21 years,Not in labor force
Adams, Indiana,B23001_019,0,Male,22 to 24 years,In Armed Forces
Adams, Indiana,B23001_021,619,Male,22 to 24 years,Employed Civilian
Adams, Indiana,B23001_022,38,Male,22 to 24 years,Unemployed Civilian
Adams, Indiana,B23001_023,32,Male,22 to 24 years,Not in labor force
Adams, Indiana,B23001_026,0,Male,25 to 29 years,In Armed Forces
Adams, Indiana,B23001_028,973,Male,25 to 29 years,Employed Civilian
Adams, Indiana,B23001_029,25,Male,25 to 29 years,Unemployed Civilian
Adams, Indiana,B23001_030,93,Male,25 to 29 years,Not in labor force
Adams, Indiana,B23001_033,0,Male,30 to 34 years,In Armed Forces
Adams, Indiana,B23001_035,937,Male,30 to 34 years,Employed Civilian
Adams, Indiana,B23001_036,12,Male,30 to 34 years,Unemployed Civilian
Adams, Indiana,B23001_037,60,Male,30 to 34 years,Not in labor force
Adams, Indiana,B23001_040,0,Male,35 to 44 years,In Armed Forces
Adams, Indiana,B23001_042,1739,Male,35 to 44 years,Employed Civilian
Adams, Indiana,B23001_043,50,Male,35 to 44 years,Unemployed Civilian
Adams, Indiana,B23001_044,47,Male,35 to 44 years,Not in labor force
Adams, Indiana,B23001_047,0,Male,45 to 54 years,In Armed Forces
Adams, Indiana,B23001_049,1729,Male,45 to 54 years,Employed Civilian
Adams, Indiana,B23001_050,6,Male,45 to 54 years,Unemployed Civilian
Adams, Indiana,B23001_051,259,Male,45 to 54 years,Not in labor force
Adams, Indiana,B23001_054,0,Male,55 to 59 years,In Armed Forces
Adams, Indiana,B23001_056,918,Male,55 to 59 years,Employed Civilian
Adams, Indiana,B23001_057,0,Male,55 to 59 years,Unemployed Civilian
Adams, Indiana,B23001_058,129,Male,55 to 59 years,Not in labor force
Adams, Indiana,B23001_061,0,Male,60 and 61 years,In Armed Forces
Adams, Indiana,B23001_063,278,Male,60 and 61 years,Employed Civilian
Adams, Indiana,B23001_064,19,Male,60 and 61 years,Unemployed Civilian
Adams, Indiana,B23001_065,84,Male,60 and 61 years,Not in labor force
Adams, Indiana,B23001_068,0,Male,62 to 64 years,In Armed Forces
Adams, Indiana,B23001_070,295,Male,62 to 64 years,Employed Civilian
Adams, Indiana,B23001_071,4,Male,62 to 64 years,Unemployed Civilian
Adams, Indiana,B23001_072,269,Male,62 to 64 years,Not in labor force
Adams, Indiana,B23001_075,221,Male,65 to 69 years,Employed
Adams, Indiana,B23001_076,8,Male,65 to 69 years,Unemployed
Adams, Indiana,B23001_077,526,Male,65 to 69 years,Not in labor force
Adams, Indiana,B23001_080,80,Male,70 to 74 years,Employed
Adams, Indiana,B23001_081,0,Male,70 to 74 years,Unemployed
Adams, Indiana,B23001_082,465,Male,70 to 74 years,Not in labor force
Adams, Indiana,B23001_085,44,Male,75 years and over,Employed
Adams, Indiana,B23001_086,0,Male,75 years and over,Unemployed
Adams, Indiana,B23001_087,933,Male,75 years and over,Not in labor force
Adams, Indiana,B23001_091,0,Female,16 to 19 years,In Armed Forces
Adams, Indiana,B23001_093,429,Female,16 to 19 years,Employed Civilian
Adams, Indiana,B23001_094,50,Female,16 to 19 years,Unemployed Civilian
Adams, Indiana,B23001_095,378,Female,16 to 19 years,Not in labor force
Adams, Indiana,B23001_098,0,Female,20 and 21 years,In Armed Forces
Adams, Indiana,B23001_100,230,Female,20 and 21 years,Employed Civilian
Adams, Indiana,B23001_101,46,Female,20 and 21 years,Unemployed Civilian
Adams, Indiana,B23001_102,74,Female,20 and 21 years,Not in labor force
Adams, Indiana,B23001_105,0,Female,22 to 24 years,In Armed Forces
Adams, Indiana,B23001_107,397,Female,22 to 24 years,Employed Civilian
Adams, Indiana,B23001_108,56,Female,22 to 24 years,Unemployed Civilian
Adams, Indiana,B23001_109,230,Female,22 to 24 years,Not in labor force
Adams, Indiana,B23001_112,0,Female,25 to 29 years,In Armed Forces
Adams, Indiana,B23001_114,643,Female,25 to 29 years,Employed Civilian
Adams, Indiana,B23001_115,0,Female,25 to 29 years,Unemployed Civilian
Adams, Indiana,B23001_116,362,Female,25 to 29 years,Not in labor force
Adams, Indiana,B23001_119,0,Female,30 to 34 years,In Armed Forces
Adams, Indiana,B23001_121,604,Female,30 to 34 years,Employed Civilian
Adams, Indiana,B23001_122,19,Female,30 to 34 years,Unemployed Civilian
Adams, Indiana,B23001_123,385,Female,30 to 34 years,Not in labor force
Adams, Indiana,B23001_126,0,Female,35 to 44 years,In Armed Forces
Adams, Indiana,B23001_128,1435,Female,35 to 44 years,Employed Civilian
Adams, Indiana,B23001_129,39,Female,35 to 44 years,Unemployed Civilian
Adams, Indiana,B23001_130,417,Female,35 to 44 years,Not in labor force
Adams, Indiana,B23001_133,0,Female,45 to 54 years,In Armed Forces
Adams, Indiana,B23001_135,1524,Female,45 to 54 years,Employed Civilian
Adams, Indiana,B23001_136,21,Female,45 to 54 years,Unemployed Civilian
Adams, Indiana,B23001_137,408,Female,45 to 54 years,Not in labor force
Adams, Indiana,B23001_140,0,Female,55 to 59 years,In Armed Forces
Adams, Indiana,B23001_142,724,Female,55 to 59 years,Employed Civilian
Adams, Indiana,B23001_143,0,Female,55 to 59 years,Unemployed Civilian
Adams, Indiana,B23001_144,238,Female,55 to 59 years,Not in labor force
Adams, Indiana,B23001_147,0,Female,60 and 61 years,In Armed Forces
Adams, Indiana,B23001_149,250,Female,60 and 61 years,Employed Civilian
Adams, Indiana,B23001_150,15,Female,60 and 61 years,Unemployed Civilian
Adams, Indiana,B23001_151,281,Female,60 and 61 years,Not in labor force
Adams, Indiana,B23001_154,0,Female,62 to 64 years,In Armed Forces
Adams, Indiana,B23001_156,341,Female,62 to 64 years,Employed Civilian
Adams, Indiana,B23001_157,0,Female,62 to 64 years,Unemployed Civilian
Adams, Indiana,B23001_158,277,Female,62 to 64 years,Not in labor force
Adams, Indiana,B23001_161,154,Female,65 to 69 years,Employed
Adams, Indiana,B23001_162,0,Female,65 to 69 years,Unemployed
Adams, Indiana,B23001_163,691,Female,65 to 69 years,Not in labor force
