County,State,variable,estimate,Hispanic_Latino,Race
Adams, Indiana,B03002_003,32917,No,White alone
Adams, Indiana,B03002_004,392,No,Black or African American alone
Adams, Indiana,B03002_005,6,No,American Indian and Alaska Native alone
Adams, Indiana,B03002_006,133,No,Asian alone
Adams, Indiana,B03002_007,0,No,Native Hawaiian and Other Pacific Islander alone
Adams, Indiana,B03002_008,90,No,Some other race alone
Adams, Indiana,B03002_009,69,No,Two or more races
Adams, Indiana,B03002_013,1143,Yes,White alone
Adams, Indiana,B03002_014,0,Yes,Black or African American alone
Adams, Indiana,B03002_015,17,Yes,American Indian and Alaska Native alone
Adams, Indiana,B03002_016,0,Yes,Asian alone
Adams, Indiana,B03002_017,0,Yes,Native Hawaiian and Other Pacific Islander alone
Adams, Indiana,B03002_018,366,Yes,Some other race alone
Adams, Indiana,B03002_019,62,Yes,Two or more races
Allen, Indiana,B03002_003,274671,No,White alone
Allen, Indiana,B03002_004,41308,No,Black or African American alone
Allen, Indiana,B03002_005,594,No,American Indian and Alaska Native alone
Allen, Indiana,B03002_006,13714,No,Asian alone
Allen, Indiana,B03002_007,140,No,Native Hawaiian and Other Pacific Islander alone
Allen, Indiana,B03002_008,340,No,Some other race alone
Allen, Indiana,B03002_009,12079,No,Two or more races
Allen, Indiana,B03002_013,18541,Yes,White alone
Allen, Indiana,B03002_014,879,Yes,Black or African American alone
Allen, Indiana,B03002_015,98,Yes,American Indian and Alaska Native alone
Allen, Indiana,B03002_016,0,Yes,Asian alone
Allen, Indiana,B03002_017,15,Yes,Native Hawaiian and Other Pacific Islander alone
Allen, Indiana,B03002_018,5629,Yes,Some other race alone
Allen, Indiana,B03002_019,2008,Yes,Two or more races
Bartholomew, Indiana,B03002_003,67423,No,White alone
Bartholomew, Indiana,B03002_004,1419,No,Black or African American alone
Bartholomew, Indiana,B03002_005,173,No,American Indian and Alaska Native alone
Bartholomew, Indiana,B03002_006,5701,No,Asian alone
Bartholomew, Indiana,B03002_007,38,No,Native Hawaiian and Other Pacific Islander alone
Bartholomew, Indiana,B03002_008,218,No,Some other race alone
Bartholomew, Indiana,B03002_009,1498,No,Two or more races
Bartholomew, Indiana,B03002_013,2412,Yes,White alone
Bartholomew, Indiana,B03002_014,206,Yes,Black or African American alone
Bartholomew, Indiana,B03002_015,0,Yes,American Indian and Alaska Native alone
Bartholomew, Indiana,B03002_016,0,Yes,Asian alone
Bartholomew, Indiana,B03002_017,0,Yes,Native Hawaiian and Other Pacific Islander alone
Bartholomew, Indiana,B03002_018,2512,Yes,Some other race alone
Bartholomew, Indiana,B03002_019,293,Yes,Two or more races
Benton, Indiana,B03002_003,8032,No,White alone
Benton, Indiana,B03002_004,49,No,Black or African American alone
Benton, Indiana,B03002_005,1,No,American Indian and Alaska Native alone
Benton, Indiana,B03002_006,15,No,Asian alone
Benton, Indiana,B03002_007,7,No,Native Hawaiian and Other Pacific Islander alone
Benton, Indiana,B03002_008,0,No,Some other race alone
Benton, Indiana,B03002_009,118,No,Two or more races
Benton, Indiana,B03002_013,425,Yes,White alone
Benton, Indiana,B03002_014,0,Yes,Black or African American alone
Benton, Indiana,B03002_015,0,Yes,American Indian and Alaska Native alone
Benton, Indiana,B03002_016,0,Yes,Asian alone
Benton, Indiana,B03002_017,0,Yes,Native Hawaiian and Other Pacific Islander alone
Benton, Indiana,B03002_018,17,Yes,Some other race alone
Benton, Indiana,B03002_019,3,Yes,Two or more races
Blackford, Indiana,B03002_003,11615,No,White alone
Blackford, Indiana,B03002_004,17,No,Black or African American alone
Blackford, Indiana,B03002_005,40,No,American Indian and Alaska Native alone
Blackford, Indiana,B03002_006,48,No,Asian alone
Blackford, Indiana,B03002_007,0,No,Native Hawaiian and Other Pacific Islander alone
Blackford, Indiana,B03002_008,2,No,Some other race alone
Blackford, Indiana,B03002_009,216,No,Two or more races
Blackford, Indiana,B03002_013,188,Yes,White alone
Blackford, Indiana,B03002_014,0,Yes,Black or African American alone
Blackford, Indiana,B03002_015,0,Yes,American Indian and Alaska Native alone
Blackford, Indiana,B03002_016,0,Yes,Asian alone
Blackford, Indiana,B03002_017,0,Yes,Native Hawaiian and Other Pacific Islander alone
Blackford, Indiana,B03002_018,0,Yes,Some other race alone
Blackford, Indiana,B03002_019,3,Yes,Two or more races
Boone, Indiana,B03002_003,58620,No,White alone
Boone, Indiana,B03002_004,1024,No,Black or African American alone
Boone, Indiana,B03002_005,75,No,American Indian and Alaska Native alone
Boone, Indiana,B03002_006,1730,No,Asian alone
Boone, Indiana,B03002_007,0,No,Native Hawaiian and Other Pacific Islander alone
Boone, Indiana,B03002_008,81,No,Some other race alone
Boone, Indiana,B03002_009,949,No,Two or more races
Boone, Indiana,B03002_013,1355,Yes,White alone
Boone, Indiana,B03002_014,0,Yes,Black or African American alone
Boone, Indiana,B03002_015,0,Yes,American Indian and Alaska Native alone
Boone, Indiana,B03002_016,0,Yes,Asian alone
Boone, Indiana,B03002_017,0,Yes,Native Hawaiian and Other Pacific Islander alone
Boone, Indiana,B03002_018,251,Yes,Some other race alone
Boone, Indiana,B03002_019,236,Yes,Two or more races
Brown, Indiana,B03002_003,14392,No,White alone
Brown, Indiana,B03002_004,157,No,Black or African American alone
Brown, Indiana,B03002_005,0,No,American Indian and Alaska Native alone
Brown, Indiana,B03002_006,76,No,Asian alone
Brown, Indiana,B03002_007,0,No,Native Hawaiian and Other Pacific Islander alone
Brown, Indiana,B03002_008,0,No,Some other race alone
Brown, Indiana,B03002_009,160,No,Two or more races
Brown, Indiana,B03002_013,164,Yes,White alone
