County,State,variable,estimate,label
Adams, Indiana,B19083_001,0.4149,Gini Index
Allen, Indiana,B19083_001,0.4521,Gini Index
Bartholomew, Indiana,B19083_001,0.4319,Gini Index
Benton, Indiana,B19083_001,0.3892,Gini Index
Blackford, Indiana,B19083_001,0.439,Gini Index
Boone, Indiana,B19083_001,0.4771,Gini Index
Brown, Indiana,B19083_001,0.4596,Gini Index
Carroll, Indiana,B19083_001,0.4056,Gini Index
Cass, Indiana,B19083_001,0.4185,Gini Index
Clark, Indiana,B19083_001,0.4191,Gini Index
Clay, Indiana,B19083_001,0.3865,Gini Index
Clinton, Indiana,B19083_001,0.3888,Gini Index
Crawford, Indiana,B19083_001,0.4118,Gini Index
Daviess, Indiana,B19083_001,0.4137,Gini Index
Dearborn, Indiana,B19083_001,0.4104,Gini Index
Decatur, Indiana,B19083_001,0.4022,Gini Index
DeKalb, Indiana,B19083_001,0.4132,Gini Index
Delaware, Indiana,B19083_001,0.4746,Gini Index
Dubois, Indiana,B19083_001,0.4216,Gini Index
Elkhart, Indiana,B19083_001,0.4183,Gini Index
Fayette, Indiana,B19083_001,0.4309,Gini Index
Floyd, Indiana,B19083_001,0.4452,Gini Index
Fountain, Indiana,B19083_001,0.4429,Gini Index
Franklin, Indiana,B19083_001,0.4089,Gini Index
Fulton, Indiana,B19083_001,0.4182,Gini Index
Gibson, Indiana,B19083_001,0.4148,Gini Index
Grant, Indiana,B19083_001,0.414,Gini Index
Greene, Indiana,B19083_001,0.3986,Gini Index
Hamilton, Indiana,B19083_001,0.4378,Gini Index
Hancock, Indiana,B19083_001,0.3752,Gini Index
Harrison, Indiana,B19083_001,0.4131,Gini Index
Hendricks, Indiana,B19083_001,0.3853,Gini Index
Henry, Indiana,B19083_001,0.4234,Gini Index
Howard, Indiana,B19083_001,0.4345,Gini Index
Huntington, Indiana,B19083_001,0.3827,Gini Index
Jackson, Indiana,B19083_001,0.4203,Gini Index
Jasper, Indiana,B19083_001,0.3775,Gini Index
Jay, Indiana,B19083_001,0.4218,Gini Index
Jefferson, Indiana,B19083_001,0.4321,Gini Index
Jennings, Indiana,B19083_001,0.3877,Gini Index
Johnson, Indiana,B19083_001,0.4135,Gini Index
Knox, Indiana,B19083_001,0.4347,Gini Index
Kosciusko, Indiana,B19083_001,0.4112,Gini Index
LaGrange, Indiana,B19083_001,0.4023,Gini Index
Lake, Indiana,B19083_001,0.4473,Gini Index
LaPorte, Indiana,B19083_001,0.4395,Gini Index
Lawrence, Indiana,B19083_001,0.4067,Gini Index
Madison, Indiana,B19083_001,0.4313,Gini Index
Marion, Indiana,B19083_001,0.4804,Gini Index
Marshall, Indiana,B19083_001,0.4281,Gini Index
Martin, Indiana,B19083_001,0.4123,Gini Index
Miami, Indiana,B19083_001,0.4072,Gini Index
Monroe, Indiana,B19083_001,0.4998,Gini Index
Montgomery, Indiana,B19083_001,0.3897,Gini Index
Morgan, Indiana,B19083_001,0.3873,Gini Index
Newton, Indiana,B19083_001,0.3766,Gini Index
Noble, Indiana,B19083_001,0.4026,Gini Index
Ohio, Indiana,B19083_001,0.3683,Gini Index
Orange, Indiana,B19083_001,0.4297,Gini Index
Owen, Indiana,B19083_001,0.3936,Gini Index
Parke, Indiana,B19083_001,0.4321,Gini Index
Perry, Indiana,B19083_001,0.4086,Gini Index
Pike, Indiana,B19083_001,0.3817,Gini Index
Porter, Indiana,B19083_001,0.4274,Gini Index
Posey, Indiana,B19083_001,0.4065,Gini Index
Pulaski, Indiana,B19083_001,0.3966,Gini Index
Putnam, Indiana,B19083_001,0.3973,Gini Index
Randolph, Indiana,B19083_001,0.4096,Gini Index
Ripley, Indiana,B19083_001,0.4111,Gini Index
Rush, Indiana,B19083_001,0.4305,Gini Index
St. Joseph, Indiana,B19083_001,0.4691,Gini Index
Scott, Indiana,B19083_001,0.4046,Gini Index
Shelby, Indiana,B19083_001,0.3978,Gini Index
Spencer, Indiana,B19083_001,0.4218,Gini Index
Starke, Indiana,B19083_001,0.4155,Gini Index
Steuben, Indiana,B19083_001,0.3964,Gini Index
Sullivan, Indiana,B19083_001,0.4359,Gini Index
Switzerland, Indiana,B19083_001,0.4274,Gini Index
Tippecanoe, Indiana,B19083_001,0.4688,Gini Index
Tipton, Indiana,B19083_001,0.4109,Gini Index
Union, Indiana,B19083_001,0.3792,Gini Index
Vanderburgh, Indiana,B19083_001,0.4751,Gini Index
Vermillion, Indiana,B19083_001,0.4169,Gini Index
Vigo, Indiana,B19083_001,0.4653,Gini Index
Wabash, Indiana,B19083_001,0.3999,Gini Index
Warren, Indiana,B19083_001,0.3765,Gini Index
Warrick, Indiana,B19083_001,0.4347,Gini Index
Washington, Indiana,B19083_001,0.4237,Gini Index
Wayne, Indiana,B19083_001,0.4702,Gini Index
Wells, Indiana,B19083_001,0.3979,Gini Index
White, Indiana,B19083_001,0.3929,Gini Index
Whitley, Indiana,B19083_001,0.3994,Gini Index
