County,State,variable,estimate,Sex,Age,Private_HI
Adams, Indiana,B27002_004,972,Male,Under 6 years,Yes
Adams, Indiana,B27002_005,1128,Male,Under 6 years,No
Adams, Indiana,B27002_007,2338,Male,6 to 18 years,Yes
Adams, Indiana,B27002_008,1519,Male,6 to 18 years,No
Adams, Indiana,B27002_010,1045,Male,19 to 25 years,Yes
Adams, Indiana,B27002_011,480,Male,19 to 25 years,No
Adams, Indiana,B27002_013,1277,Male,26 to 34 years,Yes
Adams, Indiana,B27002_014,658,Male,26 to 34 years,No
Adams, Indiana,B27002_016,1488,Male,35 to 44 years,Yes
Adams, Indiana,B27002_017,329,Male,35 to 44 years,No
Adams, Indiana,B27002_019,1494,Male,45 to 54 years,Yes
Adams, Indiana,B27002_020,489,Male,45 to 54 years,No
Adams, Indiana,B27002_022,1639,Male,55 to 64 years,Yes
Adams, Indiana,B27002_023,357,Male,55 to 64 years,No
Adams, Indiana,B27002_025,798,Male,65 to 74 years,Yes
Adams, Indiana,B27002_026,484,Male,65 to 74 years,No
Adams, Indiana,B27002_028,597,Male,75 years and over,Yes
Adams, Indiana,B27002_029,310,Male,75 years and over,No
Adams, Indiana,B27002_032,896,Female,Under 6 years,Yes
Adams, Indiana,B27002_033,821,Female,Under 6 years,No
Adams, Indiana,B27002_035,2385,Female,6 to 18 years,Yes
Adams, Indiana,B27002_036,1369,Female,6 to 18 years,No
Adams, Indiana,B27002_038,871,Female,19 to 25 years,Yes
Adams, Indiana,B27002_039,525,Female,19 to 25 years,No
Adams, Indiana,B27002_041,1106,Female,26 to 34 years,Yes
Adams, Indiana,B27002_042,705,Female,26 to 34 years,No
Adams, Indiana,B27002_044,1476,Female,35 to 44 years,Yes
Adams, Indiana,B27002_045,406,Female,35 to 44 years,No
Adams, Indiana,B27002_047,1580,Female,45 to 54 years,Yes
Adams, Indiana,B27002_048,373,Female,45 to 54 years,No
Adams, Indiana,B27002_050,1569,Female,55 to 64 years,Yes
Adams, Indiana,B27002_051,546,Female,55 to 64 years,No
Adams, Indiana,B27002_053,830,Female,65 to 74 years,Yes
Adams, Indiana,B27002_054,640,Female,65 to 74 years,No
Adams, Indiana,B27002_056,942,Female,75 years and over,Yes
Adams, Indiana,B27002_057,318,Female,75 years and over,No
Allen, Indiana,B27002_004,8534,Male,Under 6 years,Yes
Allen, Indiana,B27002_005,7376,Male,Under 6 years,No
Allen, Indiana,B27002_007,21929,Male,6 to 18 years,Yes
Allen, Indiana,B27002_008,13452,Male,6 to 18 years,No
Allen, Indiana,B27002_010,12499,Male,19 to 25 years,Yes
Allen, Indiana,B27002_011,4693,Male,19 to 25 years,No
Allen, Indiana,B27002_013,15423,Male,26 to 34 years,Yes
Allen, Indiana,B27002_014,6035,Male,26 to 34 years,No
Allen, Indiana,B27002_016,16927,Male,35 to 44 years,Yes
Allen, Indiana,B27002_017,5369,Male,35 to 44 years,No
Allen, Indiana,B27002_019,17499,Male,45 to 54 years,Yes
Allen, Indiana,B27002_020,5251,Male,45 to 54 years,No
Allen, Indiana,B27002_022,17037,Male,55 to 64 years,Yes
Allen, Indiana,B27002_023,4989,Male,55 to 64 years,No
Allen, Indiana,B27002_025,7901,Male,65 to 74 years,Yes
Allen, Indiana,B27002_026,5973,Male,65 to 74 years,No
Allen, Indiana,B27002_028,4782,Male,75 years and over,Yes
Allen, Indiana,B27002_029,3027,Male,75 years and over,No
Allen, Indiana,B27002_032,8888,Female,Under 6 years,Yes
Allen, Indiana,B27002_033,6832,Female,Under 6 years,No
Allen, Indiana,B27002_035,21448,Female,6 to 18 years,Yes
Allen, Indiana,B27002_036,12349,Female,6 to 18 years,No
Allen, Indiana,B27002_038,12240,Female,19 to 25 years,Yes
Allen, Indiana,B27002_039,5224,Female,19 to 25 years,No
Allen, Indiana,B27002_041,15007,Female,26 to 34 years,Yes
Allen, Indiana,B27002_042,7621,Female,26 to 34 years,No
Allen, Indiana,B27002_044,16979,Female,35 to 44 years,Yes
Allen, Indiana,B27002_045,6342,Female,35 to 44 years,No
Allen, Indiana,B27002_047,18326,Female,45 to 54 years,Yes
Allen, Indiana,B27002_048,5178,Female,45 to 54 years,No
Allen, Indiana,B27002_050,18328,Female,55 to 64 years,Yes
Allen, Indiana,B27002_051,5225,Female,55 to 64 years,No
Allen, Indiana,B27002_053,9087,Female,65 to 74 years,Yes
Allen, Indiana,B27002_054,6773,Female,65 to 74 years,No
Allen, Indiana,B27002_056,7210,Female,75 years and over,Yes
Allen, Indiana,B27002_057,4606,Female,75 years and over,No
Bartholomew, Indiana,B27002_004,2025,Male,Under 6 years,Yes
Bartholomew, Indiana,B27002_005,1303,Male,Under 6 years,No
Bartholomew, Indiana,B27002_007,4789,Male,6 to 18 years,Yes
Bartholomew, Indiana,B27002_008,2455,Male,6 to 18 years,No
Bartholomew, Indiana,B27002_010,2599,Male,19 to 25 years,Yes
Bartholomew, Indiana,B27002_011,1109,Male,19 to 25 years,No
Bartholomew, Indiana,B27002_013,4141,Male,26 to 34 years,Yes
Bartholomew, Indiana,B27002_014,1223,Male,26 to 34 years,No
Bartholomew, Indiana,B27002_016,4343,Male,35 to 44 years,Yes
Bartholomew, Indiana,B27002_017,909,Male,35 to 44 years,No
Bartholomew, Indiana,B27002_019,4360,Male,45 to 54 years,Yes
Bartholomew, Indiana,B27002_020,1052,Male,45 to 54 years,No
Bartholomew, Indiana,B27002_022,3744,Male,55 to 64 years,Yes
Bartholomew, Indiana,B27002_023,1127,Male,55 to 64 years,No
Bartholomew, Indiana,B27002_025,2228,Male,65 to 74 years,Yes
Bartholomew, Indiana,B27002_026,1197,Male,65 to 74 years,No
Bartholomew, Indiana,B27002_028,1560,Male,75 years and over,Yes
Bartholomew, Indiana,B27002_029,587,Male,75 years and over,No
Bartholomew, Indiana,B27002_032,1891,Female,Under 6 years,Yes
Bartholomew, Indiana,B27002_033,1277,Female,Under 6 years,No
Bartholomew, Indiana,B27002_035,4723,Female,6 to 18 years,Yes
Bartholomew, Indiana,B27002_036,2136,Female,6 to 18 years,No
Bartholomew, Indiana,B27002_038,2413,Female,19 to 25 years,Yes
Bartholomew, Indiana,B27002_039,1022,Female,19 to 25 years,No
Bartholomew, Indiana,B27002_041,3437,Female,26 to 34 years,Yes
Bartholomew, Indiana,B27002_042,1206,Female,26 to 34 years,No
Bartholomew, Indiana,B27002_044,4260,Female,35 to 44 years,Yes
Bartholomew, Indiana,B27002_045,926,Female,35 to 44 years,No
Bartholomew, Indiana,B27002_047,4142,Female,45 to 54 years,Yes
Bartholomew, Indiana,B27002_048,963,Female,45 to 54 years,No
Bartholomew, Indiana,B27002_050,4124,Female,55 to 64 years,Yes
Bartholomew, Indiana,B27002_051,1012,Female,55 to 64 years,No
Bartholomew, Indiana,B27002_053,2787,Female,65 to 74 years,Yes
Bartholomew, Indiana,B27002_054,1028,Female,65 to 74 years,No
Bartholomew, Indiana,B27002_056,2069,Female,75 years and over,Yes
Bartholomew, Indiana,B27002_057,912,Female,75 years and over,No
Benton, Indiana,B27002_004,194,Male,Under 6 years,Yes
Benton, Indiana,B27002_005,244,Male,Under 6 years,No
Benton, Indiana,B27002_007,457,Male,6 to 18 years,Yes
Benton, Indiana,B27002_008,314,Male,6 to 18 years,No
Benton, Indiana,B27002_010,253,Male,19 to 25 years,Yes
Benton, Indiana,B27002_011,97,Male,19 to 25 years,No
Benton, Indiana,B27002_013,304,Male,26 to 34 years,Yes
Benton, Indiana,B27002_014,150,Male,26 to 34 years,No
Benton, Indiana,B27002_016,344,Male,35 to 44 years,Yes
Benton, Indiana,B27002_017,134,Male,35 to 44 years,No
Benton, Indiana,B27002_019,397,Male,45 to 54 years,Yes
Benton, Indiana,B27002_020,175,Male,45 to 54 years,No
Benton, Indiana,B27002_022,454,Male,55 to 64 years,Yes
Benton, Indiana,B27002_023,134,Male,55 to 64 years,No
Benton, Indiana,B27002_025,255,Male,65 to 74 years,Yes
Benton, Indiana,B27002_026,149,Male,65 to 74 years,No
Benton, Indiana,B27002_028,160,Male,75 years and over,Yes
Benton, Indiana,B27002_029,77,Male,75 years and over,No
Benton, Indiana,B27002_032,124,Female,Under 6 years,Yes
Benton, Indiana,B27002_033,174,Female,Under 6 years,No
Benton, Indiana,B27002_035,443,Female,6 to 18 years,Yes
Benton, Indiana,B27002_036,334,Female,6 to 18 years,No
Benton, Indiana,B27002_038,175,Female,19 to 25 years,Yes
Benton, Indiana,B27002_039,137,Female,19 to 25 years,No
Benton, Indiana,B27002_041,205,Female,26 to 34 years,Yes
Benton, Indiana,B27002_042,175,Female,26 to 34 years,No
Benton, Indiana,B27002_044,352,Female,35 to 44 years,Yes
Benton, Indiana,B27002_045,181,Female,35 to 44 years,No
Benton, Indiana,B27002_047,404,Female,45 to 54 years,Yes
Benton, Indiana,B27002_048,168,Female,45 to 54 years,No
Benton, Indiana,B27002_050,490,Female,55 to 64 years,Yes
Benton, Indiana,B27002_051,138,Female,55 to 64 years,No
Benton, Indiana,B27002_053,257,Female,65 to 74 years,Yes
Benton, Indiana,B27002_054,175,Female,65 to 74 years,No
Benton, Indiana,B27002_056,252,Female,75 years and over,Yes
Benton, Indiana,B27002_057,109,Female,75 years and over,No
Blackford, Indiana,B27002_004,235,Male,Under 6 years,Yes
Blackford, Indiana,B27002_005,158,Male,Under 6 years,No
Blackford, Indiana,B27002_007,635,Male,6 to 18 years,Yes
Blackford, Indiana,B27002_008,387,Male,6 to 18 years,No
Blackford, Indiana,B27002_010,370,Male,19 to 25 years,Yes
Blackford, Indiana,B27002_011,157,Male,19 to 25 years,No
Blackford, Indiana,B27002_013,356,Male,26 to 34 years,Yes
Blackford, Indiana,B27002_014,216,Male,26 to 34 years,No
Blackford, Indiana,B27002_016,430,Male,35 to 44 years,Yes
Blackford, Indiana,B27002_017,182,Male,35 to 44 years,No
Blackford, Indiana,B27002_019,671,Male,45 to 54 years,Yes
Blackford, Indiana,B27002_020,165,Male,45 to 54 years,No
Blackford, Indiana,B27002_022,649,Male,55 to 64 years,Yes
Blackford, Indiana,B27002_023,242,Male,55 to 64 years,No
Blackford, Indiana,B27002_025,408,Male,65 to 74 years,Yes
Blackford, Indiana,B27002_026,275,Male,65 to 74 years,No
Blackford, Indiana,B27002_028,305,Male,75 years and over,Yes
Blackford, Indiana,B27002_029,106,Male,75 years and over,No
Blackford, Indiana,B27002_032,191,Female,Under 6 years,Yes
Blackford, Indiana,B27002_033,196,Female,Under 6 years,No
Blackford, Indiana,B27002_035,597,Female,6 to 18 years,Yes
Blackford, Indiana,B27002_036,291,Female,6 to 18 years,No
Blackford, Indiana,B27002_038,292,Female,19 to 25 years,Yes
Blackford, Indiana,B27002_039,155,Female,19 to 25 years,No
Blackford, Indiana,B27002_041,384,Female,26 to 34 years,Yes
Blackford, Indiana,B27002_042,166,Female,26 to 34 years,No
Blackford, Indiana,B27002_044,533,Female,35 to 44 years,Yes
Blackford, Indiana,B27002_045,122,Female,35 to 44 years,No
Blackford, Indiana,B27002_047,659,Female,45 to 54 years,Yes
Blackford, Indiana,B27002_048,168,Female,45 to 54 years,No
Blackford, Indiana,B27002_050,628,Female,55 to 64 years,Yes
Blackford, Indiana,B27002_051,304,Female,55 to 64 years,No
Blackford, Indiana,B27002_053,441,Female,65 to 74 years,Yes
Blackford, Indiana,B27002_054,262,Female,65 to 74 years,No
Blackford, Indiana,B27002_056,472,Female,75 years and over,Yes
Blackford, Indiana,B27002_057,161,Female,75 years and over,No
Boone, Indiana,B27002_004,2293,Male,Under 6 years,Yes
Boone, Indiana,B27002_005,412,Male,Under 6 years,No
Boone, Indiana,B27002_007,5936,Male,6 to 18 years,Yes
Boone, Indiana,B27002_008,732,Male,6 to 18 years,No
Boone, Indiana,B27002_010,1828,Male,19 to 25 years,Yes
Boone, Indiana,B27002_011,536,Male,19 to 25 years,No
Boone, Indiana,B27002_013,2654,Male,26 to 34 years,Yes
Boone, Indiana,B27002_014,526,Male,26 to 34 years,No
Boone, Indiana,B27002_016,3746,Male,35 to 44 years,Yes
Boone, Indiana,B27002_017,437,Male,35 to 44 years,No
Boone, Indiana,B27002_019,4320,Male,45 to 54 years,Yes
Boone, Indiana,B27002_020,490,Male,45 to 54 years,No
Boone, Indiana,B27002_022,3444,Male,55 to 64 years,Yes
Boone, Indiana,B27002_023,561,Male,55 to 64 years,No
Boone, Indiana,B27002_025,1404,Male,65 to 74 years,Yes
Boone, Indiana,B27002_026,852,Male,65 to 74 years,No
Boone, Indiana,B27002_028,806,Male,75 years and over,Yes
Boone, Indiana,B27002_029,453,Male,75 years and over,No
Boone, Indiana,B27002_032,2111,Female,Under 6 years,Yes
Boone, Indiana,B27002_033,620,Female,Under 6 years,No
Boone, Indiana,B27002_035,4917,Female,6 to 18 years,Yes
Boone, Indiana,B27002_036,1071,Female,6 to 18 years,No
Boone, Indiana,B27002_038,1723,Female,19 to 25 years,Yes
Boone, Indiana,B27002_039,489,Female,19 to 25 years,No
Boone, Indiana,B27002_041,2840,Female,26 to 34 years,Yes
