County,State,variable,estimate,Sex,Age,Public_HI
Adams, Indiana,B27003_004,548,Male,Under 6 years,Yes
Adams, Indiana,B27003_005,1552,Male,Under 6 years,No
Adams, Indiana,B27003_007,809,Male,6 to 18 years,Yes
Adams, Indiana,B27003_008,3048,Male,6 to 18 years,No
Adams, Indiana,B27003_010,111,Male,19 to 25 years,Yes
Adams, Indiana,B27003_011,1414,Male,19 to 25 years,No
Adams, Indiana,B27003_013,170,Male,26 to 34 years,Yes
Adams, Indiana,B27003_014,1765,Male,26 to 34 years,No
Adams, Indiana,B27003_016,156,Male,35 to 44 years,Yes
Adams, Indiana,B27003_017,1661,Male,35 to 44 years,No
Adams, Indiana,B27003_019,287,Male,45 to 54 years,Yes
Adams, Indiana,B27003_020,1696,Male,45 to 54 years,No
Adams, Indiana,B27003_022,220,Male,55 to 64 years,Yes
Adams, Indiana,B27003_023,1776,Male,55 to 64 years,No
Adams, Indiana,B27003_025,1204,Male,65 to 74 years,Yes
Adams, Indiana,B27003_026,78,Male,65 to 74 years,No
Adams, Indiana,B27003_028,902,Male,75 years and over,Yes
Adams, Indiana,B27003_029,5,Male,75 years and over,No
Adams, Indiana,B27003_032,346,Female,Under 6 years,Yes
Adams, Indiana,B27003_033,1371,Female,Under 6 years,No
Adams, Indiana,B27003_035,724,Female,6 to 18 years,Yes
Adams, Indiana,B27003_036,3030,Female,6 to 18 years,No
Adams, Indiana,B27003_038,211,Female,19 to 25 years,Yes
Adams, Indiana,B27003_039,1185,Female,19 to 25 years,No
Adams, Indiana,B27003_041,282,Female,26 to 34 years,Yes
Adams, Indiana,B27003_042,1529,Female,26 to 34 years,No
Adams, Indiana,B27003_044,122,Female,35 to 44 years,Yes
Adams, Indiana,B27003_045,1760,Female,35 to 44 years,No
Adams, Indiana,B27003_047,250,Female,45 to 54 years,Yes
Adams, Indiana,B27003_048,1703,Female,45 to 54 years,No
Adams, Indiana,B27003_050,442,Female,55 to 64 years,Yes
Adams, Indiana,B27003_051,1673,Female,55 to 64 years,No
Adams, Indiana,B27003_053,1373,Female,65 to 74 years,Yes
Adams, Indiana,B27003_054,97,Female,65 to 74 years,No
Adams, Indiana,B27003_056,1232,Female,75 years and over,Yes
Adams, Indiana,B27003_057,28,Female,75 years and over,No
Allen, Indiana,B27003_004,7084,Male,Under 6 years,Yes
Allen, Indiana,B27003_005,8826,Male,Under 6 years,No
Allen, Indiana,B27003_007,12490,Male,6 to 18 years,Yes
Allen, Indiana,B27003_008,22891,Male,6 to 18 years,No
Allen, Indiana,B27003_010,1976,Male,19 to 25 years,Yes
Allen, Indiana,B27003_011,15216,Male,19 to 25 years,No
Allen, Indiana,B27003_013,2626,Male,26 to 34 years,Yes
Allen, Indiana,B27003_014,18832,Male,26 to 34 years,No
Allen, Indiana,B27003_016,3222,Male,35 to 44 years,Yes
Allen, Indiana,B27003_017,19074,Male,35 to 44 years,No
Allen, Indiana,B27003_019,3215,Male,45 to 54 years,Yes
Allen, Indiana,B27003_020,19535,Male,45 to 54 years,No
Allen, Indiana,B27003_022,4390,Male,55 to 64 years,Yes
Allen, Indiana,B27003_023,17636,Male,55 to 64 years,No
Allen, Indiana,B27003_025,13247,Male,65 to 74 years,Yes
Allen, Indiana,B27003_026,627,Male,65 to 74 years,No
Allen, Indiana,B27003_028,7670,Male,75 years and over,Yes
Allen, Indiana,B27003_029,139,Male,75 years and over,No
Allen, Indiana,B27003_032,6733,Female,Under 6 years,Yes
Allen, Indiana,B27003_033,8987,Female,Under 6 years,No
Allen, Indiana,B27003_035,11240,Female,6 to 18 years,Yes
Allen, Indiana,B27003_036,22557,Female,6 to 18 years,No
Allen, Indiana,B27003_038,3343,Female,19 to 25 years,Yes
Allen, Indiana,B27003_039,14121,Female,19 to 25 years,No
Allen, Indiana,B27003_041,4585,Female,26 to 34 years,Yes
Allen, Indiana,B27003_042,18043,Female,26 to 34 years,No
Allen, Indiana,B27003_044,3794,Female,35 to 44 years,Yes
Allen, Indiana,B27003_045,19527,Female,35 to 44 years,No
Allen, Indiana,B27003_047,3465,Female,45 to 54 years,Yes
Allen, Indiana,B27003_048,20039,Female,45 to 54 years,No
Allen, Indiana,B27003_050,4053,Female,55 to 64 years,Yes
Allen, Indiana,B27003_051,19500,Female,55 to 64 years,No
Allen, Indiana,B27003_053,15231,Female,65 to 74 years,Yes
Allen, Indiana,B27003_054,629,Female,65 to 74 years,No
Allen, Indiana,B27003_056,11642,Female,75 years and over,Yes
Allen, Indiana,B27003_057,174,Female,75 years and over,No
Bartholomew, Indiana,B27003_004,1165,Male,Under 6 years,Yes
Bartholomew, Indiana,B27003_005,2163,Male,Under 6 years,No
Bartholomew, Indiana,B27003_007,2025,Male,6 to 18 years,Yes
Bartholomew, Indiana,B27003_008,5219,Male,6 to 18 years,No
Bartholomew, Indiana,B27003_010,356,Male,19 to 25 years,Yes
Bartholomew, Indiana,B27003_011,3352,Male,19 to 25 years,No
Bartholomew, Indiana,B27003_013,647,Male,26 to 34 years,Yes
Bartholomew, Indiana,B27003_014,4717,Male,26 to 34 years,No
Bartholomew, Indiana,B27003_016,479,Male,35 to 44 years,Yes
Bartholomew, Indiana,B27003_017,4773,Male,35 to 44 years,No
Bartholomew, Indiana,B27003_019,755,Male,45 to 54 years,Yes
Bartholomew, Indiana,B27003_020,4657,Male,45 to 54 years,No
Bartholomew, Indiana,B27003_022,878,Male,55 to 64 years,Yes
Bartholomew, Indiana,B27003_023,3993,Male,55 to 64 years,No
Bartholomew, Indiana,B27003_025,3201,Male,65 to 74 years,Yes
Bartholomew, Indiana,B27003_026,224,Male,65 to 74 years,No
Bartholomew, Indiana,B27003_028,2135,Male,75 years and over,Yes
Bartholomew, Indiana,B27003_029,12,Male,75 years and over,No
Bartholomew, Indiana,B27003_032,1088,Female,Under 6 years,Yes
Bartholomew, Indiana,B27003_033,2080,Female,Under 6 years,No
Bartholomew, Indiana,B27003_035,1774,Female,6 to 18 years,Yes
Bartholomew, Indiana,B27003_036,5085,Female,6 to 18 years,No
Bartholomew, Indiana,B27003_038,498,Female,19 to 25 years,Yes
Bartholomew, Indiana,B27003_039,2937,Female,19 to 25 years,No
Bartholomew, Indiana,B27003_041,751,Female,26 to 34 years,Yes
Bartholomew, Indiana,B27003_042,3892,Female,26 to 34 years,No
Bartholomew, Indiana,B27003_044,538,Female,35 to 44 years,Yes
Bartholomew, Indiana,B27003_045,4648,Female,35 to 44 years,No
Bartholomew, Indiana,B27003_047,804,Female,45 to 54 years,Yes
Bartholomew, Indiana,B27003_048,4301,Female,45 to 54 years,No
Bartholomew, Indiana,B27003_050,847,Female,55 to 64 years,Yes
Bartholomew, Indiana,B27003_051,4289,Female,55 to 64 years,No
Bartholomew, Indiana,B27003_053,3632,Female,65 to 74 years,Yes
Bartholomew, Indiana,B27003_054,183,Female,65 to 74 years,No
Bartholomew, Indiana,B27003_056,2954,Female,75 years and over,Yes
Bartholomew, Indiana,B27003_057,27,Female,75 years and over,No
Benton, Indiana,B27003_004,211,Male,Under 6 years,Yes
Benton, Indiana,B27003_005,227,Male,Under 6 years,No
Benton, Indiana,B27003_007,232,Male,6 to 18 years,Yes
Benton, Indiana,B27003_008,539,Male,6 to 18 years,No
Benton, Indiana,B27003_010,39,Male,19 to 25 years,Yes
Benton, Indiana,B27003_011,311,Male,19 to 25 years,No
Benton, Indiana,B27003_013,62,Male,26 to 34 years,Yes
Benton, Indiana,B27003_014,392,Male,26 to 34 years,No
Benton, Indiana,B27003_016,86,Male,35 to 44 years,Yes
Benton, Indiana,B27003_017,392,Male,35 to 44 years,No
Benton, Indiana,B27003_019,107,Male,45 to 54 years,Yes
Benton, Indiana,B27003_020,465,Male,45 to 54 years,No
Benton, Indiana,B27003_022,95,Male,55 to 64 years,Yes
Benton, Indiana,B27003_023,493,Male,55 to 64 years,No
Benton, Indiana,B27003_025,387,Male,65 to 74 years,Yes
Benton, Indiana,B27003_026,17,Male,65 to 74 years,No
Benton, Indiana,B27003_028,237,Male,75 years and over,Yes
Benton, Indiana,B27003_029,0,Male,75 years and over,No
Benton, Indiana,B27003_032,183,Female,Under 6 years,Yes
Benton, Indiana,B27003_033,115,Female,Under 6 years,No
Benton, Indiana,B27003_035,355,Female,6 to 18 years,Yes
Benton, Indiana,B27003_036,422,Female,6 to 18 years,No
Benton, Indiana,B27003_038,142,Female,19 to 25 years,Yes
Benton, Indiana,B27003_039,170,Female,19 to 25 years,No
Benton, Indiana,B27003_041,99,Female,26 to 34 years,Yes
Benton, Indiana,B27003_042,281,Female,26 to 34 years,No
Benton, Indiana,B27003_044,81,Female,35 to 44 years,Yes
Benton, Indiana,B27003_045,452,Female,35 to 44 years,No
Benton, Indiana,B27003_047,117,Female,45 to 54 years,Yes
Benton, Indiana,B27003_048,455,Female,45 to 54 years,No
Benton, Indiana,B27003_050,149,Female,55 to 64 years,Yes
Benton, Indiana,B27003_051,479,Female,55 to 64 years,No
Benton, Indiana,B27003_053,428,Female,65 to 74 years,Yes
Benton, Indiana,B27003_054,4,Female,65 to 74 years,No
Benton, Indiana,B27003_056,354,Female,75 years and over,Yes
