County,State,variable,estimate,label
Adams, Indiana,B19101_002,217,"Less than $10,000"
Adams, Indiana,B19101_003,198,"$10,000 to $14,999"
Adams, Indiana,B19101_004,379,"$15,000 to $19,999"
Adams, Indiana,B19101_005,387,"$20,000 to $24,999"
Adams, Indiana,B19101_006,437,"$25,000 to $29,999"
Adams, Indiana,B19101_007,387,"$30,000 to $34,999"
Adams, Indiana,B19101_008,300,"$35,000 to $39,999"
Adams, Indiana,B19101_009,367,"$40,000 to $44,999"
Adams, Indiana,B19101_010,571,"$45,000 to $49,999"
Adams, Indiana,B19101_011,819,"$50,000 to $59,999"
Adams, Indiana,B19101_012,1269,"$60,000 to $74,999"
Adams, Indiana,B19101_013,1558,"$75,000 to $99,999"
Adams, Indiana,B19101_014,864,"$100,000 to $124,999"
Adams, Indiana,B19101_015,370,"$125,000 to $149,999"
Adams, Indiana,B19101_016,298,"$150,000 to $199,999"
Adams, Indiana,B19101_017,271,"$200,000 or more"
Allen, Indiana,B19101_002,3789,"Less than $10,000"
Allen, Indiana,B19101_003,2659,"$10,000 to $14,999"
Allen, Indiana,B19101_004,2734,"$15,000 to $19,999"
Allen, Indiana,B19101_005,3490,"$20,000 to $24,999"
Allen, Indiana,B19101_006,3669,"$25,000 to $29,999"
Allen, Indiana,B19101_007,3933,"$30,000 to $34,999"
Allen, Indiana,B19101_008,4089,"$35,000 to $39,999"
Allen, Indiana,B19101_009,4083,"$40,000 to $44,999"
Allen, Indiana,B19101_010,4383,"$45,000 to $49,999"
Allen, Indiana,B19101_011,8438,"$50,000 to $59,999"
Allen, Indiana,B19101_012,11664,"$60,000 to $74,999"
Allen, Indiana,B19101_013,15637,"$75,000 to $99,999"
Allen, Indiana,B19101_014,9228,"$100,000 to $124,999"
Allen, Indiana,B19101_015,5885,"$125,000 to $149,999"
Allen, Indiana,B19101_016,4947,"$150,000 to $199,999"
Allen, Indiana,B19101_017,4684,"$200,000 or more"
Bartholomew, Indiana,B19101_002,736,"Less than $10,000"
Bartholomew, Indiana,B19101_003,609,"$10,000 to $14,999"
Bartholomew, Indiana,B19101_004,438,"$15,000 to $19,999"
Bartholomew, Indiana,B19101_005,676,"$20,000 to $24,999"
Bartholomew, Indiana,B19101_006,802,"$25,000 to $29,999"
Bartholomew, Indiana,B19101_007,713,"$30,000 to $34,999"
Bartholomew, Indiana,B19101_008,835,"$35,000 to $39,999"
Bartholomew, Indiana,B19101_009,843,"$40,000 to $44,999"
Bartholomew, Indiana,B19101_010,869,"$45,000 to $49,999"
Bartholomew, Indiana,B19101_011,2045,"$50,000 to $59,999"
Bartholomew, Indiana,B19101_012,2234,"$60,000 to $74,999"
Bartholomew, Indiana,B19101_013,3653,"$75,000 to $99,999"
Bartholomew, Indiana,B19101_014,2313,"$100,000 to $124,999"
Bartholomew, Indiana,B19101_015,1458,"$125,000 to $149,999"
Bartholomew, Indiana,B19101_016,1602,"$150,000 to $199,999"
Bartholomew, Indiana,B19101_017,1112,"$200,000 or more"
Benton, Indiana,B19101_002,76,"Less than $10,000"
Benton, Indiana,B19101_003,46,"$10,000 to $14,999"
Benton, Indiana,B19101_004,118,"$15,000 to $19,999"
Benton, Indiana,B19101_005,84,"$20,000 to $24,999"
Benton, Indiana,B19101_006,92,"$25,000 to $29,999"
Benton, Indiana,B19101_007,168,"$30,000 to $34,999"
