County,State,variable,estimate,label
Adams, Indiana,B02001_002,34060,White alone
Adams, Indiana,B02001_003,392,Black or African American alone
Adams, Indiana,B02001_004,23,American Indian and Alaska Native alone
Adams, Indiana,B02001_005,133,Asian alone
Adams, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Adams, Indiana,B02001_007,456,Some other race alone
Adams, Indiana,B02001_008,131,Two or more races
Allen, Indiana,B02001_002,293212,White alone
Allen, Indiana,B02001_003,42187,Black or African American alone
Allen, Indiana,B02001_004,692,American Indian and Alaska Native alone
Allen, Indiana,B02001_005,13714,Asian alone
Allen, Indiana,B02001_006,155,Native Hawaiian and Other Pacific Islander alone
Allen, Indiana,B02001_007,5969,Some other race alone
Allen, Indiana,B02001_008,14087,Two or more races
Bartholomew, Indiana,B02001_002,69835,White alone
Bartholomew, Indiana,B02001_003,1625,Black or African American alone
Bartholomew, Indiana,B02001_004,173,American Indian and Alaska Native alone
Bartholomew, Indiana,B02001_005,5701,Asian alone
Bartholomew, Indiana,B02001_006,38,Native Hawaiian and Other Pacific Islander alone
Bartholomew, Indiana,B02001_007,2730,Some other race alone
Bartholomew, Indiana,B02001_008,1791,Two or more races
Benton, Indiana,B02001_002,8457,White alone
Benton, Indiana,B02001_003,49,Black or African American alone
Benton, Indiana,B02001_004,1,American Indian and Alaska Native alone
Benton, Indiana,B02001_005,15,Asian alone
Benton, Indiana,B02001_006,7,Native Hawaiian and Other Pacific Islander alone
Benton, Indiana,B02001_007,17,Some other race alone
Benton, Indiana,B02001_008,121,Two or more races
Blackford, Indiana,B02001_002,11803,White alone
Blackford, Indiana,B02001_003,17,Black or African American alone
Blackford, Indiana,B02001_004,40,American Indian and Alaska Native alone
Blackford, Indiana,B02001_005,48,Asian alone
Blackford, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Blackford, Indiana,B02001_007,2,Some other race alone
Blackford, Indiana,B02001_008,219,Two or more races
Boone, Indiana,B02001_002,59975,White alone
Boone, Indiana,B02001_003,1024,Black or African American alone
Boone, Indiana,B02001_004,75,American Indian and Alaska Native alone
Boone, Indiana,B02001_005,1730,Asian alone
Boone, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Boone, Indiana,B02001_007,332,Some other race alone
Boone, Indiana,B02001_008,1185,Two or more races
Brown, Indiana,B02001_002,14556,White alone
Brown, Indiana,B02001_003,157,Black or African American alone
Brown, Indiana,B02001_004,0,American Indian and Alaska Native alone
Brown, Indiana,B02001_005,86,Asian alone
Brown, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Brown, Indiana,B02001_007,37,Some other race alone
Brown, Indiana,B02001_008,198,Two or more races
Carroll, Indiana,B02001_002,19154,White alone
Carroll, Indiana,B02001_003,89,Black or African American alone
Carroll, Indiana,B02001_004,56,American Indian and Alaska Native alone
Carroll, Indiana,B02001_005,43,Asian alone
Carroll, Indiana,B02001_006,3,Native Hawaiian and Other Pacific Islander alone
Carroll, Indiana,B02001_007,416,Some other race alone
Carroll, Indiana,B02001_008,233,Two or more races
Cass, Indiana,B02001_002,31935,White alone
Cass, Indiana,B02001_003,463,Black or African American alone
Cass, Indiana,B02001_004,187,American Indian and Alaska Native alone
Cass, Indiana,B02001_005,667,Asian alone
Cass, Indiana,B02001_006,6,Native Hawaiian and Other Pacific Islander alone
Cass, Indiana,B02001_007,4011,Some other race alone
Cass, Indiana,B02001_008,815,Two or more races
Clark, Indiana,B02001_002,101426,White alone
Clark, Indiana,B02001_003,7981,Black or African American alone
Clark, Indiana,B02001_004,117,American Indian and Alaska Native alone
Clark, Indiana,B02001_005,957,Asian alone
Clark, Indiana,B02001_006,27,Native Hawaiian and Other Pacific Islander alone
Clark, Indiana,B02001_007,1337,Some other race alone
Clark, Indiana,B02001_008,3857,Two or more races
Clay, Indiana,B02001_002,25360,White alone
Clay, Indiana,B02001_003,202,Black or African American alone
Clay, Indiana,B02001_004,25,American Indian and Alaska Native alone
Clay, Indiana,B02001_005,63,Asian alone
Clay, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Clay, Indiana,B02001_007,21,Some other race alone
Clay, Indiana,B02001_008,597,Two or more races
Clinton, Indiana,B02001_002,30202,White alone
Clinton, Indiana,B02001_003,355,Black or African American alone
Clinton, Indiana,B02001_004,91,American Indian and Alaska Native alone
Clinton, Indiana,B02001_005,102,Asian alone
Clinton, Indiana,B02001_006,45,Native Hawaiian and Other Pacific Islander alone
Clinton, Indiana,B02001_007,1220,Some other race alone
Clinton, Indiana,B02001_008,286,Two or more races
Crawford, Indiana,B02001_002,10296,White alone
Crawford, Indiana,B02001_003,33,Black or African American alone
Crawford, Indiana,B02001_004,51,American Indian and Alaska Native alone
Crawford, Indiana,B02001_005,0,Asian alone
Crawford, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Crawford, Indiana,B02001_007,0,Some other race alone
Crawford, Indiana,B02001_008,201,Two or more races
Daviess, Indiana,B02001_002,31356,White alone
Daviess, Indiana,B02001_003,577,Black or African American alone
Daviess, Indiana,B02001_004,10,American Indian and Alaska Native alone
Daviess, Indiana,B02001_005,44,Asian alone
Daviess, Indiana,B02001_006,10,Native Hawaiian and Other Pacific Islander alone
Daviess, Indiana,B02001_007,518,Some other race alone
Daviess, Indiana,B02001_008,422,Two or more races
Dearborn, Indiana,B02001_002,48080,White alone
Dearborn, Indiana,B02001_003,433,Black or African American alone
Dearborn, Indiana,B02001_004,151,American Indian and Alaska Native alone
Dearborn, Indiana,B02001_005,264,Asian alone
Dearborn, Indiana,B02001_006,11,Native Hawaiian and Other Pacific Islander alone
Dearborn, Indiana,B02001_007,186,Some other race alone
Dearborn, Indiana,B02001_008,376,Two or more races
Decatur, Indiana,B02001_002,25609,White alone
Decatur, Indiana,B02001_003,167,Black or African American alone
Decatur, Indiana,B02001_004,112,American Indian and Alaska Native alone
Decatur, Indiana,B02001_005,362,Asian alone
Decatur, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Decatur, Indiana,B02001_007,33,Some other race alone
Decatur, Indiana,B02001_008,269,Two or more races
DeKalb, Indiana,B02001_002,41541,White alone
DeKalb, Indiana,B02001_003,114,Black or African American alone
DeKalb, Indiana,B02001_004,35,American Indian and Alaska Native alone
DeKalb, Indiana,B02001_005,141,Asian alone
DeKalb, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
DeKalb, Indiana,B02001_007,131,Some other race alone
DeKalb, Indiana,B02001_008,742,Two or more races
Delaware, Indiana,B02001_002,102188,White alone
Delaware, Indiana,B02001_003,8440,Black or African American alone
Delaware, Indiana,B02001_004,98,American Indian and Alaska Native alone
Delaware, Indiana,B02001_005,1728,Asian alone
Delaware, Indiana,B02001_006,174,Native Hawaiian and Other Pacific Islander alone
Delaware, Indiana,B02001_007,545,Some other race alone
Delaware, Indiana,B02001_008,2443,Two or more races
Dubois, Indiana,B02001_002,40206,White alone
Dubois, Indiana,B02001_003,189,Black or African American alone
Dubois, Indiana,B02001_004,113,American Indian and Alaska Native alone
Dubois, Indiana,B02001_005,295,Asian alone
Dubois, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Dubois, Indiana,B02001_007,1072,Some other race alone
Dubois, Indiana,B02001_008,543,Two or more races
Elkhart, Indiana,B02001_002,178022,White alone
Elkhart, Indiana,B02001_003,10720,Black or African American alone
Elkhart, Indiana,B02001_004,440,American Indian and Alaska Native alone
Elkhart, Indiana,B02001_005,2156,Asian alone
Elkhart, Indiana,B02001_006,149,Native Hawaiian and Other Pacific Islander alone
Elkhart, Indiana,B02001_007,5367,Some other race alone
Elkhart, Indiana,B02001_008,6750,Two or more races
Fayette, Indiana,B02001_002,22408,White alone
Fayette, Indiana,B02001_003,588,Black or African American alone
Fayette, Indiana,B02001_004,0,American Indian and Alaska Native alone
Fayette, Indiana,B02001_005,44,Asian alone
Fayette, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Fayette, Indiana,B02001_007,92,Some other race alone
Fayette, Indiana,B02001_008,127,Two or more races
Floyd, Indiana,B02001_002,69224,White alone
Floyd, Indiana,B02001_003,4122,Black or African American alone
Floyd, Indiana,B02001_004,290,American Indian and Alaska Native alone
Floyd, Indiana,B02001_005,809,Asian alone
Floyd, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Floyd, Indiana,B02001_007,643,Some other race alone
Floyd, Indiana,B02001_008,1721,Two or more races
Fountain, Indiana,B02001_002,16079,White alone
Fountain, Indiana,B02001_003,60,Black or African American alone
Fountain, Indiana,B02001_004,27,American Indian and Alaska Native alone
Fountain, Indiana,B02001_005,88,Asian alone
Fountain, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Fountain, Indiana,B02001_007,42,Some other race alone
Fountain, Indiana,B02001_008,190,Two or more races
Franklin, Indiana,B02001_002,22717,White alone
Franklin, Indiana,B02001_003,25,Black or African American alone
Franklin, Indiana,B02001_004,3,American Indian and Alaska Native alone
Franklin, Indiana,B02001_005,63,Asian alone
Franklin, Indiana,B02001_006,0,Native Hawaiian and Other Pacific Islander alone
Franklin, Indiana,B02001_007,9,Some other race alone
Franklin, Indiana,B02001_008,25,Two or more races
Fulton, Indiana,B02001_002,18947,White alone
Fulton, Indiana,B02001_003,204,Black or African American alone
Fulton, Indiana,B02001_004,93,American Indian and Alaska Native alone
Fulton, Indiana,B02001_005,88,Asian alone
