County,State,variable,estimate,Sex,Age,HI_Coverage
Adams, Indiana,B27001_004,1406,Male,Under 6 years,Yes
Adams, Indiana,B27001_005,694,Male,Under 6 years,No
Adams, Indiana,B27001_007,2874,Male,6 to 18 years,Yes
Adams, Indiana,B27001_008,983,Male,6 to 18 years,No
Adams, Indiana,B27001_010,1120,Male,19 to 25 years,Yes
Adams, Indiana,B27001_011,405,Male,19 to 25 years,No
Adams, Indiana,B27001_013,1403,Male,26 to 34 years,Yes
Adams, Indiana,B27001_014,532,Male,26 to 34 years,No
Adams, Indiana,B27001_016,1525,Male,35 to 44 years,Yes
Adams, Indiana,B27001_017,292,Male,35 to 44 years,No
Adams, Indiana,B27001_019,1716,Male,45 to 54 years,Yes
Adams, Indiana,B27001_020,267,Male,45 to 54 years,No
Adams, Indiana,B27001_022,1758,Male,55 to 64 years,Yes
Adams, Indiana,B27001_023,238,Male,55 to 64 years,No
Adams, Indiana,B27001_025,1260,Male,65 to 74 years,Yes
Adams, Indiana,B27001_026,22,Male,65 to 74 years,No
Adams, Indiana,B27001_028,905,Male,75 years and over,Yes
Adams, Indiana,B27001_029,2,Male,75 years and over,No
Adams, Indiana,B27001_032,1150,Female,Under 6 years,Yes
Adams, Indiana,B27001_033,567,Female,Under 6 years,No
Adams, Indiana,B27001_035,2812,Female,6 to 18 years,Yes
Adams, Indiana,B27001_036,942,Female,6 to 18 years,No
Adams, Indiana,B27001_038,1049,Female,19 to 25 years,Yes
Adams, Indiana,B27001_039,347,Female,19 to 25 years,No
Adams, Indiana,B27001_041,1349,Female,26 to 34 years,Yes
Adams, Indiana,B27001_042,462,Female,26 to 34 years,No
Adams, Indiana,B27001_044,1566,Female,35 to 44 years,Yes
Adams, Indiana,B27001_045,316,Female,35 to 44 years,No
Adams, Indiana,B27001_047,1771,Female,45 to 54 years,Yes
Adams, Indiana,B27001_048,182,Female,45 to 54 years,No
Adams, Indiana,B27001_050,1898,Female,55 to 64 years,Yes
Adams, Indiana,B27001_051,217,Female,55 to 64 years,No
Adams, Indiana,B27001_053,1378,Female,65 to 74 years,Yes
Adams, Indiana,B27001_054,92,Female,65 to 74 years,No
Adams, Indiana,B27001_056,1260,Female,75 years and over,Yes
Adams, Indiana,B27001_057,0,Female,75 years and over,No
Allen, Indiana,B27001_004,14964,Male,Under 6 years,Yes
Allen, Indiana,B27001_005,946,Male,Under 6 years,No
Allen, Indiana,B27001_007,33123,Male,6 to 18 years,Yes
Allen, Indiana,B27001_008,2258,Male,6 to 18 years,No
Allen, Indiana,B27001_010,14272,Male,19 to 25 years,Yes
Allen, Indiana,B27001_011,2920,Male,19 to 25 years,No
Allen, Indiana,B27001_013,17332,Male,26 to 34 years,Yes
Allen, Indiana,B27001_014,4126,Male,26 to 34 years,No
Allen, Indiana,B27001_016,19273,Male,35 to 44 years,Yes
Allen, Indiana,B27001_017,3023,Male,35 to 44 years,No
Allen, Indiana,B27001_019,20062,Male,45 to 54 years,Yes
Allen, Indiana,B27001_020,2688,Male,45 to 54 years,No
Allen, Indiana,B27001_022,20297,Male,55 to 64 years,Yes
Allen, Indiana,B27001_023,1729,Male,55 to 64 years,No
Allen, Indiana,B27001_025,13748,Male,65 to 74 years,Yes
Allen, Indiana,B27001_026,126,Male,65 to 74 years,No
Allen, Indiana,B27001_028,7720,Male,75 years and over,Yes
Allen, Indiana,B27001_029,89,Male,75 years and over,No
Allen, Indiana,B27001_032,14816,Female,Under 6 years,Yes
Allen, Indiana,B27001_033,904,Female,Under 6 years,No
Allen, Indiana,B27001_035,31340,Female,6 to 18 years,Yes
Allen, Indiana,B27001_036,2457,Female,6 to 18 years,No
Allen, Indiana,B27001_038,15150,Female,19 to 25 years,Yes
Allen, Indiana,B27001_039,2314,Female,19 to 25 years,No
Allen, Indiana,B27001_041,19051,Female,26 to 34 years,Yes
Allen, Indiana,B27001_042,3577,Female,26 to 34 years,No
Allen, Indiana,B27001_044,20386,Female,35 to 44 years,Yes
Allen, Indiana,B27001_045,2935,Female,35 to 44 years,No
Allen, Indiana,B27001_047,21265,Female,45 to 54 years,Yes
Allen, Indiana,B27001_048,2239,Female,45 to 54 years,No
Allen, Indiana,B27001_050,21589,Female,55 to 64 years,Yes
Allen, Indiana,B27001_051,1964,Female,55 to 64 years,No
Allen, Indiana,B27001_053,15742,Female,65 to 74 years,Yes
Allen, Indiana,B27001_054,118,Female,65 to 74 years,No
Allen, Indiana,B27001_056,11695,Female,75 years and over,Yes
Allen, Indiana,B27001_057,121,Female,75 years and over,No
Bartholomew, Indiana,B27001_004,3066,Male,Under 6 years,Yes
Bartholomew, Indiana,B27001_005,262,Male,Under 6 years,No
Bartholomew, Indiana,B27001_007,6467,Male,6 to 18 years,Yes
Bartholomew, Indiana,B27001_008,777,Male,6 to 18 years,No
Bartholomew, Indiana,B27001_010,2861,Male,19 to 25 years,Yes
Bartholomew, Indiana,B27001_011,847,Male,19 to 25 years,No
Bartholomew, Indiana,B27001_013,4617,Male,26 to 34 years,Yes
Bartholomew, Indiana,B27001_014,747,Male,26 to 34 years,No
Bartholomew, Indiana,B27001_016,4645,Male,35 to 44 years,Yes
Bartholomew, Indiana,B27001_017,607,Male,35 to 44 years,No
Bartholomew, Indiana,B27001_019,4899,Male,45 to 54 years,Yes
Bartholomew, Indiana,B27001_020,513,Male,45 to 54 years,No
Bartholomew, Indiana,B27001_022,4372,Male,55 to 64 years,Yes
Bartholomew, Indiana,B27001_023,499,Male,55 to 64 years,No
Bartholomew, Indiana,B27001_025,3425,Male,65 to 74 years,Yes
Bartholomew, Indiana,B27001_026,0,Male,65 to 74 years,No
Bartholomew, Indiana,B27001_028,2147,Male,75 years and over,Yes
Bartholomew, Indiana,B27001_029,0,Male,75 years and over,No
Bartholomew, Indiana,B27001_032,2892,Female,Under 6 years,Yes
Bartholomew, Indiana,B27001_033,276,Female,Under 6 years,No
Bartholomew, Indiana,B27001_035,6376,Female,6 to 18 years,Yes
Bartholomew, Indiana,B27001_036,483,Female,6 to 18 years,No
Bartholomew, Indiana,B27001_038,2852,Female,19 to 25 years,Yes
Bartholomew, Indiana,B27001_039,583,Female,19 to 25 years,No
Bartholomew, Indiana,B27001_041,4080,Female,26 to 34 years,Yes
Bartholomew, Indiana,B27001_042,563,Female,26 to 34 years,No
Bartholomew, Indiana,B27001_044,4724,Female,35 to 44 years,Yes
Bartholomew, Indiana,B27001_045,462,Female,35 to 44 years,No
Bartholomew, Indiana,B27001_047,4792,Female,45 to 54 years,Yes
Bartholomew, Indiana,B27001_048,313,Female,45 to 54 years,No
Bartholomew, Indiana,B27001_050,4683,Female,55 to 64 years,Yes
Bartholomew, Indiana,B27001_051,453,Female,55 to 64 years,No
Bartholomew, Indiana,B27001_053,3800,Female,65 to 74 years,Yes
Bartholomew, Indiana,B27001_054,15,Female,65 to 74 years,No
Bartholomew, Indiana,B27001_056,2981,Female,75 years and over,Yes
Bartholomew, Indiana,B27001_057,0,Female,75 years and over,No
Benton, Indiana,B27001_004,397,Male,Under 6 years,Yes
