GEOID,NAME,variable,estimate,moe,Sex,Age,HI_coverage
60628,ZCTA5 60628,B27001_004,2418,415,Male,Under 6 years,Yes
60641,ZCTA5 60641,B27001_004,2702,364,Male,Under 6 years,Yes
60607,ZCTA5 60607,B27001_004,763,199,Male,Under 6 years,Yes
60609,ZCTA5 60609,B27001_004,2556,313,Male,Under 6 years,Yes
60625,ZCTA5 60625,B27001_004,3752,512,Male,Under 6 years,Yes
60646,ZCTA5 60646,B27001_004,1088,233,Male,Under 6 years,Yes
60652,ZCTA5 60652,B27001_004,1835,354,Male,Under 6 years,Yes
60614,ZCTA5 60614,B27001_004,2471,334,Male,Under 6 years,Yes
60615,ZCTA5 60615,B27001_004,1253,228,Male,Under 6 years,Yes
60619,ZCTA5 60619,B27001_004,2234,395,Male,Under 6 years,Yes
60621,ZCTA5 60621,B27001_004,1484,333,Male,Under 6 years,Yes
60636,ZCTA5 60636,B27001_004,1089,235,Male,Under 6 years,Yes
60639,ZCTA5 60639,B27001_004,3778,503,Male,Under 6 years,Yes
60643,ZCTA5 60643,B27001_004,1604,315,Male,Under 6 years,Yes
60647,ZCTA5 60647,B27001_004,3587,344,Male,Under 6 years,Yes
60631,ZCTA5 60631,B27001_004,1219,271,Male,Under 6 years,Yes
60601,ZCTA5 60601,B27001_004,228,156,Male,Under 6 years,Yes
60608,ZCTA5 60608,B27001_004,2694,390,Male,Under 6 years,Yes
60620,ZCTA5 60620,B27001_004,2227,395,Male,Under 6 years,Yes
60634,ZCTA5 60634,B27001_004,2814,402,Male,Under 6 years,Yes
60637,ZCTA5 60637,B27001_004,1775,315,Male,Under 6 years,Yes
60644,ZCTA5 60644,B27001_004,2191,387,Male,Under 6 years,Yes
60605,ZCTA5 60605,B27001_004,527,226,Male,Under 6 years,Yes
60606,ZCTA5 60606,B27001_004,36,50,Male,Under 6 years,Yes
60623,ZCTA5 60623,B27001_004,4074,561,Male,Under 6 years,Yes
60629,ZCTA5 60629,B27001_004,4527,567,Male,Under 6 years,Yes
60633,ZCTA5 60633,B27001_004,485,158,Male,Under 6 years,Yes
60638,ZCTA5 60638,B27001_004,2359,361,Male,Under 6 years,Yes
60640,ZCTA5 60640,B27001_004,2132,402,Male,Under 6 years,Yes
60649,ZCTA5 60649,B27001_004,1685,349,Male,Under 6 years,Yes
60655,ZCTA5 60655,B27001_004,1149,285,Male,Under 6 years,Yes
60661,ZCTA5 60661,B27001_004,358,150,Male,Under 6 years,Yes
60610,ZCTA5 60610,B27001_004,994,307,Male,Under 6 years,Yes
60622,ZCTA5 60622,B27001_004,2019,295,Male,Under 6 years,Yes
60660,ZCTA5 60660,B27001_004,1162,222,Male,Under 6 years,Yes
60602,ZCTA5 60602,B27001_004,5,11,Male,Under 6 years,Yes
60657,ZCTA5 60657,B27001_004,2218,246,Male,Under 6 years,Yes
60654,ZCTA5 60654,B27001_004,767,246,Male,Under 6 years,Yes
60659,ZCTA5 60659,B27001_004,1776,444,Male,Under 6 years,Yes
60603,ZCTA5 60603,B27001_004,13,14,Male,Under 6 years,Yes
60642,ZCTA5 60642,B27001_004,684,221,Male,Under 6 years,Yes
60656,ZCTA5 60656,B27001_004,989,263,Male,Under 6 years,Yes
60611,ZCTA5 60611,B27001_004,598,266,Male,Under 6 years,Yes
60616,ZCTA5 60616,B27001_004,1615,329,Male,Under 6 years,Yes
60651,ZCTA5 60651,B27001_004,2433,492,Male,Under 6 years,Yes
60604,ZCTA5 60604,B27001_004,6,9,Male,Under 6 years,Yes
60612,ZCTA5 60612,B27001_004,1400,232,Male,Under 6 years,Yes
60613,ZCTA5 60613,B27001_004,1360,309,Male,Under 6 years,Yes
60617,ZCTA5 60617,B27001_004,3027,481,Male,Under 6 years,Yes
60618,ZCTA5 60618,B27001_004,4351,489,Male,Under 6 years,Yes
60624,ZCTA5 60624,B27001_004,2010,339,Male,Under 6 years,Yes
60626,ZCTA5 60626,B27001_004,1164,293,Male,Under 6 years,Yes
60630,ZCTA5 60630,B27001_004,2014,367,Male,Under 6 years,Yes
60632,ZCTA5 60632,B27001_004,4404,488,Male,Under 6 years,Yes
60645,ZCTA5 60645,B27001_004,2370,417,Male,Under 6 years,Yes
60653,ZCTA5 60653,B27001_004,1245,238,Male,Under 6 years,Yes
60628,ZCTA5 60628,B27001_005,85,77,Male,Under 6 years,No
60641,ZCTA5 60641,B27001_005,100,84,Male,Under 6 years,No
60607,ZCTA5 60607,B27001_005,12,20,Male,Under 6 years,No
60609,ZCTA5 60609,B27001_005,57,43,Male,Under 6 years,No
60625,ZCTA5 60625,B27001_005,36,35,Male,Under 6 years,No
60646,ZCTA5 60646,B27001_005,18,29,Male,Under 6 years,No
60652,ZCTA5 60652,B27001_005,13,21,Male,Under 6 years,No
60614,ZCTA5 60614,B27001_005,0,26,Male,Under 6 years,No
60615,ZCTA5 60615,B27001_005,40,40,Male,Under 6 years,No
60619,ZCTA5 60619,B27001_005,57,66,Male,Under 6 years,No
60621,ZCTA5 60621,B27001_005,0,20,Male,Under 6 years,No
60636,ZCTA5 60636,B27001_005,7,16,Male,Under 6 years,No
60639,ZCTA5 60639,B27001_005,93,55,Male,Under 6 years,No
60643,ZCTA5 60643,B27001_005,65,48,Male,Under 6 years,No
60647,ZCTA5 60647,B27001_005,72,69,Male,Under 6 years,No
60631,ZCTA5 60631,B27001_005,33,48,Male,Under 6 years,No
60601,ZCTA5 60601,B27001_005,0,17,Male,Under 6 years,No
60608,ZCTA5 60608,B27001_005,37,38,Male,Under 6 years,No
60620,ZCTA5 60620,B27001_005,53,53,Male,Under 6 years,No
60634,ZCTA5 60634,B27001_005,97,65,Male,Under 6 years,No
60637,ZCTA5 60637,B27001_005,42,49,Male,Under 6 years,No
60644,ZCTA5 60644,B27001_005,127,111,Male,Under 6 years,No
60605,ZCTA5 60605,B27001_005,12,20,Male,Under 6 years,No
60606,ZCTA5 60606,B27001_005,0,11,Male,Under 6 years,No
60623,ZCTA5 60623,B27001_005,158,82,Male,Under 6 years,No
60629,ZCTA5 60629,B27001_005,111,70,Male,Under 6 years,No
60633,ZCTA5 60633,B27001_005,0,17,Male,Under 6 years,No
60638,ZCTA5 60638,B27001_005,53,43,Male,Under 6 years,No
60640,ZCTA5 60640,B27001_005,18,30,Male,Under 6 years,No
60649,ZCTA5 60649,B27001_005,0,23,Male,Under 6 years,No
60655,ZCTA5 60655,B27001_005,10,16,Male,Under 6 years,No
60661,ZCTA5 60661,B27001_005,0,15,Male,Under 6 years,No
60610,ZCTA5 60610,B27001_005,0,23,Male,Under 6 years,No
60622,ZCTA5 60622,B27001_005,30,24,Male,Under 6 years,No
60660,ZCTA5 60660,B27001_005,12,17,Male,Under 6 years,No
60602,ZCTA5 60602,B27001_005,0,11,Male,Under 6 years,No
60657,ZCTA5 60657,B27001_005,0,26,Male,Under 6 years,No
60654,ZCTA5 60654,B27001_005,0,17,Male,Under 6 years,No
60659,ZCTA5 60659,B27001_005,33,32,Male,Under 6 years,No
60603,ZCTA5 60603,B27001_005,0,11,Male,Under 6 years,No
60642,ZCTA5 60642,B27001_005,30,51,Male,Under 6 years,No
60656,ZCTA5 60656,B27001_005,27,36,Male,Under 6 years,No
60611,ZCTA5 60611,B27001_005,0,23,Male,Under 6 years,No
60616,ZCTA5 60616,B27001_005,10,15,Male,Under 6 years,No
60651,ZCTA5 60651,B27001_005,46,40,Male,Under 6 years,No
60604,ZCTA5 60604,B27001_005,0,11,Male,Under 6 years,No
60612,ZCTA5 60612,B27001_005,21,22,Male,Under 6 years,No
60613,ZCTA5 60613,B27001_005,9,13,Male,Under 6 years,No
60617,ZCTA5 60617,B27001_005,119,108,Male,Under 6 years,No
60618,ZCTA5 60618,B27001_005,117,107,Male,Under 6 years,No
60624,ZCTA5 60624,B27001_005,28,32,Male,Under 6 years,No
60626,ZCTA5 60626,B27001_005,154,234,Male,Under 6 years,No
60630,ZCTA5 60630,B27001_005,71,66,Male,Under 6 years,No
60632,ZCTA5 60632,B27001_005,103,72,Male,Under 6 years,No
60645,ZCTA5 60645,B27001_005,0,23,Male,Under 6 years,No
60653,ZCTA5 60653,B27001_005,55,62,Male,Under 6 years,No
60628,ZCTA5 60628,B27001_007,5342,603,Male,6 to 18 years,Yes
60641,ZCTA5 60641,B27001_007,5584,567,Male,6 to 18 years,Yes
60607,ZCTA5 60607,B27001_007,1103,230,Male,6 to 18 years,Yes
60609,ZCTA5 60609,B27001_007,5732,573,Male,6 to 18 years,Yes
60625,ZCTA5 60625,B27001_007,4567,539,Male,6 to 18 years,Yes
60646,ZCTA5 60646,B27001_007,1902,268,Male,6 to 18 years,Yes
60652,ZCTA5 60652,B27001_007,4038,486,Male,6 to 18 years,Yes
60614,ZCTA5 60614,B27001_007,3362,410,Male,6 to 18 years,Yes
60615,ZCTA5 60615,B27001_007,2227,309,Male,6 to 18 years,Yes
60619,ZCTA5 60619,B27001_007,4415,573,Male,6 to 18 years,Yes
60621,ZCTA5 60621,B27001_007,2401,347,Male,6 to 18 years,Yes
60636,ZCTA5 60636,B27001_007,2741,357,Male,6 to 18 years,Yes
60639,ZCTA5 60639,B27001_007,8606,667,Male,6 to 18 years,Yes
60643,ZCTA5 60643,B27001_007,3496,422,Male,6 to 18 years,Yes
60647,ZCTA5 60647,B27001_007,5104,458,Male,6 to 18 years,Yes
60631,ZCTA5 60631,B27001_007,2001,322,Male,6 to 18 years,Yes
60601,ZCTA5 60601,B27001_007,131,110,Male,6 to 18 years,Yes
60608,ZCTA5 60608,B27001_007,5227,574,Male,6 to 18 years,Yes
60620,ZCTA5 60620,B27001_007,5257,585,Male,6 to 18 years,Yes
60634,ZCTA5 60634,B27001_007,5224,486,Male,6 to 18 years,Yes
60637,ZCTA5 60637,B27001_007,4787,448,Male,6 to 18 years,Yes
60644,ZCTA5 60644,B27001_007,4229,771,Male,6 to 18 years,Yes
60605,ZCTA5 60605,B27001_007,896,363,Male,6 to 18 years,Yes
60606,ZCTA5 60606,B27001_007,44,45,Male,6 to 18 years,Yes
60623,ZCTA5 60623,B27001_007,9555,804,Male,6 to 18 years,Yes
60629,ZCTA5 60629,B27001_007,11486,853,Male,6 to 18 years,Yes
60633,ZCTA5 60633,B27001_007,1230,379,Male,6 to 18 years,Yes
60638,ZCTA5 60638,B27001_007,4663,499,Male,6 to 18 years,Yes
60640,ZCTA5 60640,B27001_007,2713,459,Male,6 to 18 years,Yes
60649,ZCTA5 60649,B27001_007,3437,576,Male,6 to 18 years,Yes
60655,ZCTA5 60655,B27001_007,2290,293,Male,6 to 18 years,Yes
60661,ZCTA5 60661,B27001_007,34,37,Male,6 to 18 years,Yes
60610,ZCTA5 60610,B27001_007,942,317,Male,6 to 18 years,Yes
60622,ZCTA5 60622,B27001_007,2108,380,Male,6 to 18 years,Yes
60660,ZCTA5 60660,B27001_007,1792,304,Male,6 to 18 years,Yes
60602,ZCTA5 60602,B27001_007,91,94,Male,6 to 18 years,Yes
60657,ZCTA5 60657,B27001_007,2299,261,Male,6 to 18 years,Yes
60654,ZCTA5 60654,B27001_007,112,85,Male,6 to 18 years,Yes
60659,ZCTA5 60659,B27001_007,3797,411,Male,6 to 18 years,Yes
60603,ZCTA5 60603,B27001_007,38,49,Male,6 to 18 years,Yes
60642,ZCTA5 60642,B27001_007,475,164,Male,6 to 18 years,Yes
60656,ZCTA5 60656,B27001_007,1731,283,Male,6 to 18 years,Yes
60611,ZCTA5 60611,B27001_007,343,160,Male,6 to 18 years,Yes
60616,ZCTA5 60616,B27001_007,2885,384,Male,6 to 18 years,Yes
60651,ZCTA5 60651,B27001_007,6128,656,Male,6 to 18 years,Yes
60604,ZCTA5 60604,B27001_007,42,39,Male,6 to 18 years,Yes
60612,ZCTA5 60612,B27001_007,2707,322,Male,6 to 18 years,Yes
60613,ZCTA5 60613,B27001_007,1521,279,Male,6 to 18 years,Yes
60617,ZCTA5 60617,B27001_007,7530,713,Male,6 to 18 years,Yes
60618,ZCTA5 60618,B27001_007,5962,496,Male,6 to 18 years,Yes
60624,ZCTA5 60624,B27001_007,3794,469,Male,6 to 18 years,Yes
60626,ZCTA5 60626,B27001_007,2833,375,Male,6 to 18 years,Yes
60630,ZCTA5 60630,B27001_007,3964,476,Male,6 to 18 years,Yes
60632,ZCTA5 60632,B27001_007,9516,696,Male,6 to 18 years,Yes
60645,ZCTA5 60645,B27001_007,4245,522,Male,6 to 18 years,Yes
60653,ZCTA5 60653,B27001_007,3281,464,Male,6 to 18 years,Yes
60628,ZCTA5 60628,B27001_008,236,107,Male,6 to 18 years,No
60641,ZCTA5 60641,B27001_008,246,121,Male,6 to 18 years,No
60607,ZCTA5 60607,B27001_008,55,65,Male,6 to 18 years,No
60609,ZCTA5 60609,B27001_008,199,91,Male,6 to 18 years,No
60625,ZCTA5 60625,B27001_008,349,180,Male,6 to 18 years,No
60646,ZCTA5 60646,B27001_008,29,38,Male,6 to 18 years,No
60652,ZCTA5 60652,B27001_008,102,61,Male,6 to 18 years,No
60614,ZCTA5 60614,B27001_008,81,56,Male,6 to 18 years,No
60615,ZCTA5 60615,B27001_008,113,82,Male,6 to 18 years,No
60619,ZCTA5 60619,B27001_008,122,61,Male,6 to 18 years,No
60621,ZCTA5 60621,B27001_008,144,70,Male,6 to 18 years,No
60636,ZCTA5 60636,B27001_008,37,26,Male,6 to 18 years,No
60639,ZCTA5 60639,B27001_008,479,163,Male,6 to 18 years,No
60643,ZCTA5 60643,B27001_008,107,85,Male,6 to 18 years,No
60647,ZCTA5 60647,B27001_008,242,97,Male,6 to 18 years,No
60631,ZCTA5 60631,B27001_008,11,19,Male,6 to 18 years,No
60601,ZCTA5 60601,B27001_008,0,17,Male,6 to 18 years,No
60608,ZCTA5 60608,B27001_008,176,103,Male,6 to 18 years,No
60620,ZCTA5 60620,B27001_008,251,129,Male,6 to 18 years,No
60634,ZCTA5 60634,B27001_008,273,132,Male,6 to 18 years,No
60637,ZCTA5 60637,B27001_008,227,136,Male,6 to 18 years,No
60644,ZCTA5 60644,B27001_008,602,315,Male,6 to 18 years,No
60605,ZCTA5 60605,B27001_008,56,75,Male,6 to 18 years,No
60606,ZCTA5 60606,B27001_008,0,11,Male,6 to 18 years,No
60623,ZCTA5 60623,B27001_008,470,146,Male,6 to 18 years,No
60629,ZCTA5 60629,B27001_008,551,200,Male,6 to 18 years,No
60633,ZCTA5 60633,B27001_008,66,53,Male,6 to 18 years,No
60638,ZCTA5 60638,B27001_008,343,143,Male,6 to 18 years,No
60640,ZCTA5 60640,B27001_008,178,150,Male,6 to 18 years,No
60649,ZCTA5 60649,B27001_008,95,90,Male,6 to 18 years,No
60655,ZCTA5 60655,B27001_008,3,5,Male,6 to 18 years,No
60661,ZCTA5 60661,B27001_008,0,15,Male,6 to 18 years,No
60610,ZCTA5 60610,B27001_008,29,45,Male,6 to 18 years,No
60622,ZCTA5 60622,B27001_008,50,51,Male,6 to 18 years,No
60660,ZCTA5 60660,B27001_008,49,53,Male,6 to 18 years,No
60602,ZCTA5 60602,B27001_008,1,2,Male,6 to 18 years,No
60657,ZCTA5 60657,B27001_008,15,31,Male,6 to 18 years,No
60654,ZCTA5 60654,B27001_008,0,17,Male,6 to 18 years,No
60659,ZCTA5 60659,B27001_008,98,72,Male,6 to 18 years,No
60603,ZCTA5 60603,B27001_008,12,17,Male,6 to 18 years,No
60642,ZCTA5 60642,B27001_008,80,75,Male,6 to 18 years,No
60656,ZCTA5 60656,B27001_008,32,39,Male,6 to 18 years,No
60611,ZCTA5 60611,B27001_008,0,23,Male,6 to 18 years,No
60616,ZCTA5 60616,B27001_008,130,71,Male,6 to 18 years,No
60651,ZCTA5 60651,B27001_008,432,172,Male,6 to 18 years,No
60604,ZCTA5 60604,B27001_008,0,11,Male,6 to 18 years,No
60612,ZCTA5 60612,B27001_008,115,75,Male,6 to 18 years,No
60613,ZCTA5 60613,B27001_008,8,13,Male,6 to 18 years,No
60617,ZCTA5 60617,B27001_008,283,127,Male,6 to 18 years,No
60618,ZCTA5 60618,B27001_008,252,125,Male,6 to 18 years,No
60624,ZCTA5 60624,B27001_008,62,55,Male,6 to 18 years,No
60626,ZCTA5 60626,B27001_008,186,106,Male,6 to 18 years,No
60630,ZCTA5 60630,B27001_008,229,124,Male,6 to 18 years,No
60632,ZCTA5 60632,B27001_008,391,145,Male,6 to 18 years,No
60645,ZCTA5 60645,B27001_008,208,98,Male,6 to 18 years,No
60653,ZCTA5 60653,B27001_008,24,37,Male,6 to 18 years,No
60628,ZCTA5 60628,B27001_010,3096,477,Male,19 to 25 years,Yes
60641,ZCTA5 60641,B27001_010,2009,341,Male,19 to 25 years,Yes
60607,ZCTA5 60607,B27001_010,3041,439,Male,19 to 25 years,Yes
60609,ZCTA5 60609,B27001_010,2454,319,Male,19 to 25 years,Yes
60625,ZCTA5 60625,B27001_010,2926,527,Male,19 to 25 years,Yes
60646,ZCTA5 60646,B27001_010,684,179,Male,19 to 25 years,Yes
60652,ZCTA5 60652,B27001_010,2002,324,Male,19 to 25 years,Yes
60614,ZCTA5 60614,B27001_010,5617,667,Male,19 to 25 years,Yes
60615,ZCTA5 60615,B27001_010,2909,502,Male,19 to 25 years,Yes
60619,ZCTA5 60619,B27001_010,2076,362,Male,19 to 25 years,Yes
60621,ZCTA5 60621,B27001_010,821,210,Male,19 to 25 years,Yes
60636,ZCTA5 60636,B27001_010,1036,231,Male,19 to 25 years,Yes
60639,ZCTA5 60639,B27001_010,3619,417,Male,19 to 25 years,Yes
60643,ZCTA5 60643,B27001_010,1970,498,Male,19 to 25 years,Yes
60647,ZCTA5 60647,B27001_010,4096,414,Male,19 to 25 years,Yes
60631,ZCTA5 60631,B27001_010,800,170,Male,19 to 25 years,Yes
60601,ZCTA5 60601,B27001_010,533,253,Male,19 to 25 years,Yes
60608,ZCTA5 60608,B27001_010,2975,466,Male,19 to 25 years,Yes
60620,ZCTA5 60620,B27001_010,2377,471,Male,19 to 25 years,Yes
60634,ZCTA5 60634,B27001_010,2301,326,Male,19 to 25 years,Yes
60637,ZCTA5 60637,B27001_010,2998,395,Male,19 to 25 years,Yes
60644,ZCTA5 60644,B27001_010,1669,353,Male,19 to 25 years,Yes
60605,ZCTA5 60605,B27001_010,1523,386,Male,19 to 25 years,Yes
60606,ZCTA5 60606,B27001_010,96,78,Male,19 to 25 years,Yes
60623,ZCTA5 60623,B27001_010,2646,360,Male,19 to 25 years,Yes
60629,ZCTA5 60629,B27001_010,4172,579,Male,19 to 25 years,Yes
60633,ZCTA5 60633,B27001_010,510,185,Male,19 to 25 years,Yes
60638,ZCTA5 60638,B27001_010,1978,291,Male,19 to 25 years,Yes
60640,ZCTA5 60640,B27001_010,2310,373,Male,19 to 25 years,Yes
60649,ZCTA5 60649,B27001_010,1443,319,Male,19 to 25 years,Yes
60655,ZCTA5 60655,B27001_010,1057,187,Male,19 to 25 years,Yes
60661,ZCTA5 60661,B27001_010,656,213,Male,19 to 25 years,Yes
