GEOID,NAME,variable,estimate,moe,Sex,Age,HI_coverage,zip_pop,prop_sex,prop_age,prop_HI_cov,prop_sex_age,prop_sex_HI_cov,prop_age_HI_cov,prop_sex_age_HI_cov
60601,ZCTA5 60601,B27001_004,228,156,Male,Under 6 years,Yes,14647,0.48904212466716734,0.04164675360142009,0.9700279920802894,0.015566327575612753,0.46712637400150203,0.04164675360142009,0.015566327575612753
60601,ZCTA5 60601,B27001_005,0,17,Male,Under 6 years,No,14647,0.48904212466716734,0.04164675360142009,0.02997200791971052,0.015566327575612753,0.021915750665665323,0,0
60601,ZCTA5 60601,B27001_007,131,110,Male,6 to 18 years,Yes,14647,0.48904212466716734,0.03966682597118864,0.9700279920802894,0.008943811019321363,0.46712637400150203,0.03843790537311395,0.008943811019321363
60601,ZCTA5 60601,B27001_008,0,17,Male,6 to 18 years,No,14647,0.48904212466716734,0.03966682597118864,0.02997200791971052,0.008943811019321363,0.021915750665665323,0.001228920598074691,0
60601,ZCTA5 60601,B27001_010,533,253,Male,19 to 25 years,Yes,14647,0.48904212466716734,0.10746227896497576,0.9700279920802894,0.042670854099815664,0.46712637400150203,0.09742609408069912,0.036389704376322794
60601,ZCTA5 60601,B27001_011,92,100,Male,19 to 25 years,No,14647,0.48904212466716734,0.10746227896497576,0.02997200791971052,0.042670854099815664,0.021915750665665323,0.010036184884276643,0.006281149723492865
60601,ZCTA5 60601,B27001_013,2415,614,Male,26 to 34 years,Yes,14647,0.48904212466716734,0.31351129924216564,0.9700279920802894,0.17293643749573293,0.46712637400150203,0.30238274049293373,0.1648801802416877
60601,ZCTA5 60601,B27001_014,118,70,Male,26 to 34 years,No,14647,0.48904212466716734,0.31351129924216564,0.02997200791971052,0.17293643749573293,0.021915750665665323,0.011128558749231925,0.008056257254045197
60601,ZCTA5 60601,B27001_016,1015,319,Male,35 to 44 years,Yes,14647,0.48904212466716734,0.13975558134771626,0.9700279920802894,0.07236976855328736,0.46712637400150203,0.13668327985252954,0.06929746705810064
60601,ZCTA5 60601,B27001_017,45,74,Male,35 to 44 years,No,14647,0.48904212466716734,0.13975558134771626,0.02997200791971052,0.07236976855328736,0.021915750665665323,0.0030723014951867275,0.0030723014951867275
60601,ZCTA5 60601,B27001_019,1244,322,Male,45 to 54 years,Yes,14647,0.48904212466716734,0.13552263262101455,0.9700279920802894,0.08493206800027309,0.46712637400150203,0.13552263262101455,0.08493206800027309
60601,ZCTA5 60601,B27001_020,0,17,Male,45 to 54 years,No,14647,0.48904212466716734,0.13552263262101455,0.02997200791971052,0.08493206800027309,0.021915750665665323,0,0
60601,ZCTA5 60601,B27001_022,552,263,Male,55 to 64 years,Yes,14647,0.48904212466716734,0.08076739264013108,0.9700279920802894,0.04219294053389773,0.46712637400150203,0.07626135044719055,0.03768689834095719
