GEOID,NAME,variable,estimate,moe,Hispanic_or_Latino,Two_or_more,Including_other_race
60628,ZCTA5 60628,B03002_010,31,25,No,Two or more races,Including
60641,ZCTA5 60641,B03002_010,83,73,No,Two or more races,Including
60607,ZCTA5 60607,B03002_010,48,40,No,Two or more races,Including
60609,ZCTA5 60609,B03002_010,20,25,No,Two or more races,Including
60625,ZCTA5 60625,B03002_010,203,127,No,Two or more races,Including
60646,ZCTA5 60646,B03002_010,18,26,No,Two or more races,Including
60652,ZCTA5 60652,B03002_010,301,308,No,Two or more races,Including
60614,ZCTA5 60614,B03002_010,113,58,No,Two or more races,Including
60615,ZCTA5 60615,B03002_010,127,101,No,Two or more races,Including
60619,ZCTA5 60619,B03002_010,0,26,No,Two or more races,Including
60621,ZCTA5 60621,B03002_010,0,20,No,Two or more races,Including
60636,ZCTA5 60636,B03002_010,0,23,No,Two or more races,Including
60639,ZCTA5 60639,B03002_010,0,26,No,Two or more races,Including
60643,ZCTA5 60643,B03002_010,0,23,No,Two or more races,Including
60647,ZCTA5 60647,B03002_010,69,59,No,Two or more races,Including
60631,ZCTA5 60631,B03002_010,6,9,No,Two or more races,Including
60601,ZCTA5 60601,B03002_010,0,17,No,Two or more races,Including
60608,ZCTA5 60608,B03002_010,0,26,No,Two or more races,Including
60620,ZCTA5 60620,B03002_010,8,19,No,Two or more races,Including
60634,ZCTA5 60634,B03002_010,0,26,No,Two or more races,Including
60637,ZCTA5 60637,B03002_010,72,54,No,Two or more races,Including
60644,ZCTA5 60644,B03002_010,0,23,No,Two or more races,Including
60605,ZCTA5 60605,B03002_010,139,172,No,Two or more races,Including
60606,ZCTA5 60606,B03002_010,32,38,No,Two or more races,Including
60623,ZCTA5 60623,B03002_010,11,17,No,Two or more races,Including
60629,ZCTA5 60629,B03002_010,88,88,No,Two or more races,Including
60633,ZCTA5 60633,B03002_010,0,17,No,Two or more races,Including
60638,ZCTA5 60638,B03002_010,54,47,No,Two or more races,Including
60640,ZCTA5 60640,B03002_010,63,36,No,Two or more races,Including
60649,ZCTA5 60649,B03002_010,0,23,No,Two or more races,Including
60655,ZCTA5 60655,B03002_010,0,20,No,Two or more races,Including
60661,ZCTA5 60661,B03002_010,32,51,No,Two or more races,Including
60610,ZCTA5 60610,B03002_010,33,35,No,Two or more races,Including
60622,ZCTA5 60622,B03002_010,98,84,No,Two or more races,Including
60660,ZCTA5 60660,B03002_010,77,64,No,Two or more races,Including
60602,ZCTA5 60602,B03002_010,0,11,No,Two or more races,Including
60657,ZCTA5 60657,B03002_010,131,88,No,Two or more races,Including
60654,ZCTA5 60654,B03002_010,35,38,No,Two or more races,Including
60659,ZCTA5 60659,B03002_010,94,89,No,Two or more races,Including
60603,ZCTA5 60603,B03002_010,0,11,No,Two or more races,Including
60642,ZCTA5 60642,B03002_010,14,16,No,Two or more races,Including
60656,ZCTA5 60656,B03002_010,0,20,No,Two or more races,Including
60611,ZCTA5 60611,B03002_010,37,44,No,Two or more races,Including
60616,ZCTA5 60616,B03002_010,157,156,No,Two or more races,Including
60651,ZCTA5 60651,B03002_010,12,19,No,Two or more races,Including
60604,ZCTA5 60604,B03002_010,0,11,No,Two or more races,Including
60612,ZCTA5 60612,B03002_010,82,71,No,Two or more races,Including
60613,ZCTA5 60613,B03002_010,89,73,No,Two or more races,Including
60617,ZCTA5 60617,B03002_010,10,12,No,Two or more races,Including
60618,ZCTA5 60618,B03002_010,69,70,No,Two or more races,Including
60624,ZCTA5 60624,B03002_010,0,23,No,Two or more races,Including
60626,ZCTA5 60626,B03002_010,106,115,No,Two or more races,Including
60630,ZCTA5 60630,B03002_010,89,103,No,Two or more races,Including
60632,ZCTA5 60632,B03002_010,24,33,No,Two or more races,Including
60645,ZCTA5 60645,B03002_010,168,111,No,Two or more races,Including
60653,ZCTA5 60653,B03002_010,39,32,No,Two or more races,Including
60628,ZCTA5 60628,B03002_011,516,200,No,Two or more races,Excluding
60641,ZCTA5 60641,B03002_011,1540,378,No,Two or more races,Excluding
60607,ZCTA5 60607,B03002_011,673,222,No,Two or more races,Excluding
60609,ZCTA5 60609,B03002_011,580,202,No,Two or more races,Excluding
60625,ZCTA5 60625,B03002_011,2755,608,No,Two or more races,Excluding
60646,ZCTA5 60646,B03002_011,477,186,No,Two or more races,Excluding
60652,ZCTA5 60652,B03002_011,668,445,No,Two or more races,Excluding
60614,ZCTA5 60614,B03002_011,1922,415,No,Two or more races,Excluding
60615,ZCTA5 60615,B03002_011,1537,294,No,Two or more races,Excluding
60619,ZCTA5 60619,B03002_011,617,219,No,Two or more races,Excluding
60621,ZCTA5 60621,B03002_011,101,63,No,Two or more races,Excluding
60636,ZCTA5 60636,B03002_011,393,199,No,Two or more races,Excluding
60639,ZCTA5 60639,B03002_011,443,185,No,Two or more races,Excluding
60643,ZCTA5 60643,B03002_011,1036,383,No,Two or more races,Excluding
60647,ZCTA5 60647,B03002_011,1836,258,No,Two or more races,Excluding
60631,ZCTA5 60631,B03002_011,663,233,No,Two or more races,Excluding
60601,ZCTA5 60601,B03002_011,250,346,No,Two or more races,Excluding
60608,ZCTA5 60608,B03002_011,571,180,No,Two or more races,Excluding
60620,ZCTA5 60620,B03002_011,395,143,No,Two or more races,Excluding
60634,ZCTA5 60634,B03002_011,340,123,No,Two or more races,Excluding
60637,ZCTA5 60637,B03002_011,762,210,No,Two or more races,Excluding
60644,ZCTA5 60644,B03002_011,390,261,No,Two or more races,Excluding
60605,ZCTA5 60605,B03002_011,875,271,No,Two or more races,Excluding
60606,ZCTA5 60606,B03002_011,86,55,No,Two or more races,Excluding
60623,ZCTA5 60623,B03002_011,297,142,No,Two or more races,Excluding
60629,ZCTA5 60629,B03002_011,719,305,No,Two or more races,Excluding
60633,ZCTA5 60633,B03002_011,46,39,No,Two or more races,Excluding
60638,ZCTA5 60638,B03002_011,549,245,No,Two or more races,Excluding
60640,ZCTA5 60640,B03002_011,1704,389,No,Two or more races,Excluding
60649,ZCTA5 60649,B03002_011,609,206,No,Two or more races,Excluding
60655,ZCTA5 60655,B03002_011,269,139,No,Two or more races,Excluding
60661,ZCTA5 60661,B03002_011,253,153,No,Two or more races,Excluding
60610,ZCTA5 60610,B03002_011,589,233,No,Two or more races,Excluding
60622,ZCTA5 60622,B03002_011,1318,269,No,Two or more races,Excluding
60660,ZCTA5 60660,B03002_011,1095,251,No,Two or more races,Excluding
60602,ZCTA5 60602,B03002_011,21,31,No,Two or more races,Excluding
60657,ZCTA5 60657,B03002_011,1891,310,No,Two or more races,Excluding
60654,ZCTA5 60654,B03002_011,558,252,No,Two or more races,Excluding
60659,ZCTA5 60659,B03002_011,1473,568,No,Two or more races,Excluding
60603,ZCTA5 60603,B03002_011,18,25,No,Two or more races,Excluding
60642,ZCTA5 60642,B03002_011,532,164,No,Two or more races,Excluding
60656,ZCTA5 60656,B03002_011,647,318,No,Two or more races,Excluding
60611,ZCTA5 60611,B03002_011,684,334,No,Two or more races,Excluding
60616,ZCTA5 60616,B03002_011,901,317,No,Two or more races,Excluding
60651,ZCTA5 60651,B03002_011,580,398,No,Two or more races,Excluding
60604,ZCTA5 60604,B03002_011,0,11,No,Two or more races,Excluding
60612,ZCTA5 60612,B03002_011,502,134,No,Two or more races,Excluding
60613,ZCTA5 60613,B03002_011,1346,384,No,Two or more races,Excluding
60617,ZCTA5 60617,B03002_011,288,146,No,Two or more races,Excluding
60618,ZCTA5 60618,B03002_011,2512,461,No,Two or more races,Excluding
60624,ZCTA5 60624,B03002_011,344,182,No,Two or more races,Excluding
60626,ZCTA5 60626,B03002_011,1290,266,No,Two or more races,Excluding
60630,ZCTA5 60630,B03002_011,1645,451,No,Two or more races,Excluding
60632,ZCTA5 60632,B03002_011,364,248,No,Two or more races,Excluding
60645,ZCTA5 60645,B03002_011,1723,448,No,Two or more races,Excluding
60653,ZCTA5 60653,B03002_011,498,147,No,Two or more races,Excluding
60628,ZCTA5 60628,B03002_020,33,49,Yes,Two or more races,Including
60641,ZCTA5 60641,B03002_020,935,386,Yes,Two or more races,Including
60607,ZCTA5 60607,B03002_020,82,74,Yes,Two or more races,Including
60609,ZCTA5 60609,B03002_020,429,194,Yes,Two or more races,Including
60625,ZCTA5 60625,B03002_020,732,269,Yes,Two or more races,Including
60646,ZCTA5 60646,B03002_020,103,109,Yes,Two or more races,Including
60652,ZCTA5 60652,B03002_020,293,178,Yes,Two or more races,Including
