GEOID,NAME,variable,estimate,moe,Hispanic_or_Latino,Two_or_more,Including_other_race,zip_pop,prop_His_Lat,prop_Two_more,prop_incl_other,prop_His_Lat_Two_more,prop_His_Lat_incl_other,prop_Two_more_incl_other,prop_His_Lat_Two_more_incl_other
60601,ZCTA5 60601,B03002_010,0,17,No,Two or more races,Including,250,1,1,0,1,0,0,0
60601,ZCTA5 60601,B03002_011,250,346,No,Two or more races,Excluding,250,1,1,1,1,1,1,1
60601,ZCTA5 60601,B03002_020,0,17,Yes,Two or more races,Including,250,0,1,0,0,0,0,0
60601,ZCTA5 60601,B03002_021,0,17,Yes,Two or more races,Excluding,250,0,1,1,0,0,1,0
60602,ZCTA5 60602,B03002_010,0,11,No,Two or more races,Including,41,0.5121951219512195,1,0,0.5121951219512195,0,0,0
60602,ZCTA5 60602,B03002_011,21,31,No,Two or more races,Excluding,41,0.5121951219512195,1,1,0.5121951219512195,0.5121951219512195,1,0.5121951219512195
60602,ZCTA5 60602,B03002_020,0,11,Yes,Two or more races,Including,41,0.4878048780487805,1,0,0.4878048780487805,0,0,0
60602,ZCTA5 60602,B03002_021,20,34,Yes,Two or more races,Excluding,41,0.4878048780487805,1,1,0.4878048780487805,0.4878048780487805,1,0.4878048780487805
60603,ZCTA5 60603,B03002_010,0,11,No,Two or more races,Including,67,0.26865671641791045,1,0,0.26865671641791045,0,0,0
60603,ZCTA5 60603,B03002_011,18,25,No,Two or more races,Excluding,67,0.26865671641791045,1,1,0.26865671641791045,0.26865671641791045,1,0.26865671641791045
60603,ZCTA5 60603,B03002_020,0,11,Yes,Two or more races,Including,67,0.7313432835820896,1,0,0.7313432835820896,0,0,0
60603,ZCTA5 60603,B03002_021,49,73,Yes,Two or more races,Excluding,67,0.7313432835820896,1,1,0.7313432835820896,0.7313432835820896,1,0.7313432835820896
60604,ZCTA5 60604,B03002_010,0,11,No,Two or more races,Including,10,0,1,0,0,0,0,0
60604,ZCTA5 60604,B03002_011,0,11,No,Two or more races,Excluding,10,0,1,1,0,0,1,0
60604,ZCTA5 60604,B03002_020,0,11,Yes,Two or more races,Including,10,1,1,0,1,0,0,0
60604,ZCTA5 60604,B03002_021,10,15,Yes,Two or more races,Excluding,10,1,1,1,1,1,1,1
60605,ZCTA5 60605,B03002_010,139,172,No,Two or more races,Including,1108,0.9151624548736462,1,0.1723826714801444,0.9151624548736462,0.12545126353790614,0.1723826714801444,0.12545126353790614
60605,ZCTA5 60605,B03002_011,875,271,No,Two or more races,Excluding,1108,0.9151624548736462,1,0.8276173285198556,0.9151624548736462,0.7897111913357401,0.8276173285198556,0.7897111913357401
