GEOID,NAME,variable,estimate,moe,Sex,Age,zip_pop,prop_sex,prop_age,prop_sex_age
60601,ZCTA5 60601,B01001I_003,0,17,Male,Under 5 years,1274,0.4897959183673469,0.04317111459968603,0
60601,ZCTA5 60601,B01001I_004,0,17,Male,5 to 9 years,1274,0.4897959183673469,0,0
60601,ZCTA5 60601,B01001I_005,0,17,Male,10 to 14 years,1274,0.4897959183673469,0,0
60601,ZCTA5 60601,B01001I_006,0,17,Male,15 to 17 years,1274,0.4897959183673469,0,0
60601,ZCTA5 60601,B01001I_007,2,5,Male,18 and 19 years,1274,0.4897959183673469,0.07770800627943485,0.0015698587127158557
60601,ZCTA5 60601,B01001I_008,63,75,Male,20 to 24 years,1274,0.4897959183673469,0.07692307692307693,0.04945054945054945
60601,ZCTA5 60601,B01001I_009,307,202,Male,25 to 29 years,1274,0.4897959183673469,0.24175824175824176,0.24097331240188383
60601,ZCTA5 60601,B01001I_010,37,45,Male,30 to 34 years,1274,0.4897959183673469,0.029042386185243328,0.029042386185243328
60601,ZCTA5 60601,B01001I_011,109,126,Male,35 to 44 years,1274,0.4897959183673469,0.12401883830455258,0.08555729984301413
60601,ZCTA5 60601,B01001I_012,106,122,Male,45 to 54 years,1274,0.4897959183673469,0.1554160125588697,0.08320251177394035
60601,ZCTA5 60601,B01001I_013,0,17,Male,55 to 64 years,1274,0.4897959183673469,0,0
60601,ZCTA5 60601,B01001I_014,0,17,Male,65 to 74 years,1274,0.4897959183673469,0,0
60601,ZCTA5 60601,B01001I_015,0,17,Male,75 to 84 years,1274,0.4897959183673469,0.2519623233908948,0
60601,ZCTA5 60601,B01001I_016,0,17,Male,85 years and over,1274,0.4897959183673469,0,0
60601,ZCTA5 60601,B01001I_018,55,94,Female,Under 5 years,1274,0.5102040816326531,0.04317111459968603,0.04317111459968603
60601,ZCTA5 60601,B01001I_019,0,17,Female,5 to 9 years,1274,0.5102040816326531,0,0
60601,ZCTA5 60601,B01001I_020,0,17,Female,10 to 14 years,1274,0.5102040816326531,0,0
60601,ZCTA5 60601,B01001I_021,0,17,Female,15 to 17 years,1274,0.5102040816326531,0,0
60601,ZCTA5 60601,B01001I_022,97,88,Female,18 and 19 years,1274,0.5102040816326531,0.07770800627943485,0.076138147566719
60601,ZCTA5 60601,B01001I_023,35,25,Female,20 to 24 years,1274,0.5102040816326531,0.07692307692307693,0.027472527472527472
60601,ZCTA5 60601,B01001I_024,1,3,Female,25 to 29 years,1274,0.5102040816326531,0.24175824175824176,7.849293563579278e-4
60601,ZCTA5 60601,B01001I_025,0,17,Female,30 to 34 years,1274,0.5102040816326531,0.029042386185243328,0
60601,ZCTA5 60601,B01001I_026,49,83,Female,35 to 44 years,1274,0.5102040816326531,0.12401883830455258,0.038461538461538464
60601,ZCTA5 60601,B01001I_027,92,169,Female,45 to 54 years,1274,0.5102040816326531,0.1554160125588697,0.07221350078492936
60601,ZCTA5 60601,B01001I_028,0,17,Female,55 to 64 years,1274,0.5102040816326531,0,0
60601,ZCTA5 60601,B01001I_029,0,17,Female,65 to 74 years,1274,0.5102040816326531,0,0
60601,ZCTA5 60601,B01001I_030,321,235,Female,75 to 84 years,1274,0.5102040816326531,0.2519623233908948,0.2519623233908948
60601,ZCTA5 60601,B01001I_031,0,17,Female,85 years and over,1274,0.5102040816326531,0,0
60602,ZCTA5 60602,B01001I_003,5,11,Male,Under 5 years,81,0.16049382716049382,0.06172839506172839,0.06172839506172839
60602,ZCTA5 60602,B01001I_004,0,11,Male,5 to 9 years,81,0.16049382716049382,0,0
60602,ZCTA5 60602,B01001I_005,0,11,Male,10 to 14 years,81,0.16049382716049382,0,0
60602,ZCTA5 60602,B01001I_006,0,11,Male,15 to 17 years,81,0.16049382716049382,0,0
60602,ZCTA5 60602,B01001I_007,0,11,Male,18 and 19 years,81,0.16049382716049382,0.024691358024691357,0
60602,ZCTA5 60602,B01001I_008,5,13,Male,20 to 24 years,81,0.16049382716049382,0.06172839506172839,0.06172839506172839
60602,ZCTA5 60602,B01001I_009,0,11,Male,25 to 29 years,81,0.16049382716049382,0.24691358024691357,0
60602,ZCTA5 60602,B01001I_010,0,11,Male,30 to 34 years,81,0.16049382716049382,0,0
60602,ZCTA5 60602,B01001I_011,0,11,Male,35 to 44 years,81,0.16049382716049382,0,0
60602,ZCTA5 60602,B01001I_012,3,5,Male,45 to 54 years,81,0.16049382716049382,0.6049382716049383,0.037037037037037035
60602,ZCTA5 60602,B01001I_013,0,11,Male,55 to 64 years,81,0.16049382716049382,0,0
60602,ZCTA5 60602,B01001I_014,0,11,Male,65 to 74 years,81,0.16049382716049382,0,0
60602,ZCTA5 60602,B01001I_015,0,11,Male,75 to 84 years,81,0.16049382716049382,0,0
60602,ZCTA5 60602,B01001I_016,0,11,Male,85 years and over,81,0.16049382716049382,0,0
60602,ZCTA5 60602,B01001I_018,0,11,Female,Under 5 years,81,0.8395061728395061,0.06172839506172839,0
60602,ZCTA5 60602,B01001I_019,0,11,Female,5 to 9 years,81,0.8395061728395061,0,0
60602,ZCTA5 60602,B01001I_020,0,11,Female,10 to 14 years,81,0.8395061728395061,0,0
60602,ZCTA5 60602,B01001I_021,0,11,Female,15 to 17 years,81,0.8395061728395061,0,0
60602,ZCTA5 60602,B01001I_022,2,4,Female,18 and 19 years,81,0.8395061728395061,0.024691358024691357,0.024691358024691357
60602,ZCTA5 60602,B01001I_023,0,11,Female,20 to 24 years,81,0.8395061728395061,0.06172839506172839,0
60602,ZCTA5 60602,B01001I_024,20,34,Female,25 to 29 years,81,0.8395061728395061,0.24691358024691357,0.24691358024691357
60602,ZCTA5 60602,B01001I_025,0,11,Female,30 to 34 years,81,0.8395061728395061,0,0
60602,ZCTA5 60602,B01001I_026,0,11,Female,35 to 44 years,81,0.8395061728395061,0,0
60602,ZCTA5 60602,B01001I_027,46,74,Female,45 to 54 years,81,0.8395061728395061,0.6049382716049383,0.5679012345679012
60602,ZCTA5 60602,B01001I_028,0,11,Female,55 to 64 years,81,0.8395061728395061,0,0
60602,ZCTA5 60602,B01001I_029,0,11,Female,65 to 74 years,81,0.8395061728395061,0,0
60602,ZCTA5 60602,B01001I_030,0,11,Female,75 to 84 years,81,0.8395061728395061,0,0
60602,ZCTA5 60602,B01001I_031,0,11,Female,85 years and over,81,0.8395061728395061,0,0
60603,ZCTA5 60603,B01001I_003,0,11,Male,Under 5 years,115,0.4956521739130435,0,0
60603,ZCTA5 60603,B01001I_004,0,11,Male,5 to 9 years,115,0.4956521739130435,0.1826086956521739,0
60603,ZCTA5 60603,B01001I_005,22,37,Male,10 to 14 years,115,0.4956521739130435,0.19130434782608696,0.19130434782608696
60603,ZCTA5 60603,B01001I_006,0,11,Male,15 to 17 years,115,0.4956521739130435,0,0
60603,ZCTA5 60603,B01001I_007,0,11,Male,18 and 19 years,115,0.4956521739130435,0.09565217391304348,0
60603,ZCTA5 60603,B01001I_008,6,12,Male,20 to 24 years,115,0.4956521739130435,0.05217391304347826,0.05217391304347826
60603,ZCTA5 60603,B01001I_009,0,11,Male,25 to 29 years,115,0.4956521739130435,0,0
60603,ZCTA5 60603,B01001I_010,0,11,Male,30 to 34 years,115,0.4956521739130435,0.05217391304347826,0
60603,ZCTA5 60603,B01001I_011,0,11,Male,35 to 44 years,115,0.4956521739130435,0,0
60603,ZCTA5 60603,B01001I_012,0,11,Male,45 to 54 years,115,0.4956521739130435,0.17391304347826086,0
60603,ZCTA5 60603,B01001I_013,29,37,Male,55 to 64 years,115,0.4956521739130435,0.25217391304347825,0.25217391304347825
60603,ZCTA5 60603,B01001I_014,0,11,Male,65 to 74 years,115,0.4956521739130435,0,0
60603,ZCTA5 60603,B01001I_015,0,11,Male,75 to 84 years,115,0.4956521739130435,0,0
60603,ZCTA5 60603,B01001I_016,0,11,Male,85 years and over,115,0.4956521739130435,0,0
60603,ZCTA5 60603,B01001I_018,0,11,Female,Under 5 years,115,0.5043478260869565,0,0
60603,ZCTA5 60603,B01001I_019,21,35,Female,5 to 9 years,115,0.5043478260869565,0.1826086956521739,0.1826086956521739
60603,ZCTA5 60603,B01001I_020,0,11,Female,10 to 14 years,115,0.5043478260869565,0.19130434782608696,0
60603,ZCTA5 60603,B01001I_021,0,11,Female,15 to 17 years,115,0.5043478260869565,0,0
60603,ZCTA5 60603,B01001I_022,11,16,Female,18 and 19 years,115,0.5043478260869565,0.09565217391304348,0.09565217391304348
60603,ZCTA5 60603,B01001I_023,0,11,Female,20 to 24 years,115,0.5043478260869565,0.05217391304347826,0
60603,ZCTA5 60603,B01001I_024,0,11,Female,25 to 29 years,115,0.5043478260869565,0,0
60603,ZCTA5 60603,B01001I_025,6,9,Female,30 to 34 years,115,0.5043478260869565,0.05217391304347826,0.05217391304347826
60603,ZCTA5 60603,B01001I_026,0,11,Female,35 to 44 years,115,0.5043478260869565,0,0
60603,ZCTA5 60603,B01001I_027,20,33,Female,45 to 54 years,115,0.5043478260869565,0.17391304347826086,0.17391304347826086
60603,ZCTA5 60603,B01001I_028,0,11,Female,55 to 64 years,115,0.5043478260869565,0.25217391304347825,0
60603,ZCTA5 60603,B01001I_029,0,11,Female,65 to 74 years,115,0.5043478260869565,0,0
60603,ZCTA5 60603,B01001I_030,0,11,Female,75 to 84 years,115,0.5043478260869565,0,0
60603,ZCTA5 60603,B01001I_031,0,11,Female,85 years and over,115,0.5043478260869565,0,0
60604,ZCTA5 60604,B01001I_003,0,11,Male,Under 5 years,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_004,0,11,Male,5 to 9 years,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_005,0,11,Male,10 to 14 years,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_006,5,7,Male,15 to 17 years,34,0.47058823529411764,0.14705882352941177,0.14705882352941177
60604,ZCTA5 60604,B01001I_007,0,11,Male,18 and 19 years,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_008,0,11,Male,20 to 24 years,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_009,0,11,Male,25 to 29 years,34,0.47058823529411764,0.20588235294117646,0
60604,ZCTA5 60604,B01001I_010,0,11,Male,30 to 34 years,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_011,0,11,Male,35 to 44 years,34,0.47058823529411764,0.17647058823529413,0
60604,ZCTA5 60604,B01001I_012,11,11,Male,45 to 54 years,34,0.47058823529411764,0.47058823529411764,0.3235294117647059
60604,ZCTA5 60604,B01001I_013,0,11,Male,55 to 64 years,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_014,0,11,Male,65 to 74 years,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_015,0,11,Male,75 to 84 years,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_016,0,11,Male,85 years and over,34,0.47058823529411764,0,0
60604,ZCTA5 60604,B01001I_018,0,11,Female,Under 5 years,34,0.5294117647058824,0,0
60604,ZCTA5 60604,B01001I_019,0,11,Female,5 to 9 years,34,0.5294117647058824,0,0
60604,ZCTA5 60604,B01001I_020,0,11,Female,10 to 14 years,34,0.5294117647058824,0,0
60604,ZCTA5 60604,B01001I_021,0,11,Female,15 to 17 years,34,0.5294117647058824,0.14705882352941177,0
60604,ZCTA5 60604,B01001I_022,0,11,Female,18 and 19 years,34,0.5294117647058824,0,0
60604,ZCTA5 60604,B01001I_023,0,11,Female,20 to 24 years,34,0.5294117647058824,0,0
60604,ZCTA5 60604,B01001I_024,7,11,Female,25 to 29 years,34,0.5294117647058824,0.20588235294117646,0.20588235294117646
60604,ZCTA5 60604,B01001I_025,0,11,Female,30 to 34 years,34,0.5294117647058824,0,0
60604,ZCTA5 60604,B01001I_026,6,9,Female,35 to 44 years,34,0.5294117647058824,0.17647058823529413,0.17647058823529413
60604,ZCTA5 60604,B01001I_027,5,7,Female,45 to 54 years,34,0.5294117647058824,0.47058823529411764,0.14705882352941177
60604,ZCTA5 60604,B01001I_028,0,11,Female,55 to 64 years,34,0.5294117647058824,0,0
60604,ZCTA5 60604,B01001I_029,0,11,Female,65 to 74 years,34,0.5294117647058824,0,0
60604,ZCTA5 60604,B01001I_030,0,11,Female,75 to 84 years,34,0.5294117647058824,0,0
60604,ZCTA5 60604,B01001I_031,0,11,Female,85 years and over,34,0.5294117647058824,0,0
60605,ZCTA5 60605,B01001I_003,69,93,Male,Under 5 years,1608,0.5796019900497512,0.04291044776119403,0.04291044776119403
60605,ZCTA5 60605,B01001I_004,0,20,Male,5 to 9 years,1608,0.5796019900497512,0,0
60605,ZCTA5 60605,B01001I_005,0,20,Male,10 to 14 years,1608,0.5796019900497512,0.018656716417910446,0
60605,ZCTA5 60605,B01001I_006,0,20,Male,15 to 17 years,1608,0.5796019900497512,0,0
60605,ZCTA5 60605,B01001I_007,54,57,Male,18 and 19 years,1608,0.5796019900497512,0.043532338308457715,0.033582089552238806
60605,ZCTA5 60605,B01001I_008,49,49,Male,20 to 24 years,1608,0.5796019900497512,0.11940298507462686,0.030472636815920398
60605,ZCTA5 60605,B01001I_009,143,130,Male,25 to 29 years,1608,0.5796019900497512,0.17164179104477612,0.08893034825870647
60605,ZCTA5 60605,B01001I_010,146,100,Male,30 to 34 years,1608,0.5796019900497512,0.12437810945273632,0.09079601990049752
60605,ZCTA5 60605,B01001I_011,227,115,Male,35 to 44 years,1608,0.5796019900497512,0.1691542288557214,0.14116915422885573
60605,ZCTA5 60605,B01001I_012,147,79,Male,45 to 54 years,1608,0.5796019900497512,0.0914179104477612,0.0914179104477612
60605,ZCTA5 60605,B01001I_013,97,152,Male,55 to 64 years,1608,0.5796019900497512,0.21890547263681592,0.06032338308457712
60605,ZCTA5 60605,B01001I_014,0,20,Male,65 to 74 years,1608,0.5796019900497512,0,0
60605,ZCTA5 60605,B01001I_015,0,20,Male,75 to 84 years,1608,0.5796019900497512,0,0
60605,ZCTA5 60605,B01001I_016,0,20,Male,85 years and over,1608,0.5796019900497512,0,0
60605,ZCTA5 60605,B01001I_018,0,20,Female,Under 5 years,1608,0.42039800995024873,0.04291044776119403,0
60605,ZCTA5 60605,B01001I_019,0,20,Female,5 to 9 years,1608,0.42039800995024873,0,0
60605,ZCTA5 60605,B01001I_020,30,36,Female,10 to 14 years,1608,0.42039800995024873,0.018656716417910446,0.018656716417910446
60605,ZCTA5 60605,B01001I_021,0,20,Female,15 to 17 years,1608,0.42039800995024873,0,0
60605,ZCTA5 60605,B01001I_022,16,23,Female,18 and 19 years,1608,0.42039800995024873,0.043532338308457715,0.009950248756218905
60605,ZCTA5 60605,B01001I_023,143,86,Female,20 to 24 years,1608,0.42039800995024873,0.11940298507462686,0.08893034825870647
60605,ZCTA5 60605,B01001I_024,133,93,Female,25 to 29 years,1608,0.42039800995024873,0.17164179104477612,0.08271144278606965
60605,ZCTA5 60605,B01001I_025,54,59,Female,30 to 34 years,1608,0.42039800995024873,0.12437810945273632,0.033582089552238806
60605,ZCTA5 60605,B01001I_026,45,52,Female,35 to 44 years,1608,0.42039800995024873,0.1691542288557214,0.027985074626865673
60605,ZCTA5 60605,B01001I_027,0,20,Female,45 to 54 years,1608,0.42039800995024873,0.0914179104477612,0
60605,ZCTA5 60605,B01001I_028,255,257,Female,55 to 64 years,1608,0.42039800995024873,0.21890547263681592,0.15858208955223882
60605,ZCTA5 60605,B01001I_029,0,20,Female,65 to 74 years,1608,0.42039800995024873,0,0
60605,ZCTA5 60605,B01001I_030,0,20,Female,75 to 84 years,1608,0.42039800995024873,0,0
