Zip,Population,Tested,Cases
60601,11110,"6,714",213
60602,1204,845,22
60603,493,466,13
60604,570,589,34
60605,24668,"10,709",389
60606,2308,"2,737",74
60607,23897,"13,443",750
60608,82739,"33,360","2,714"
60609,64906,"25,027","2,582"
60610,37726,"16,784",671
60611,28718,"14,998",463
60612,33472,"17,127",995
60613,48281,"19,901",793
60614,66617,"32,619","1,148"
60615,40603,"16,506",647
60616,48433,"21,007",843
60617,84155,"29,678","2,223"
60618,92084,"36,798","2,266"
60619,63825,"24,302","1,420"
60620,72216,"23,366","1,710"
60621,35912,"10,513",775
60622,52548,"27,091","1,181"
60623,92108,"29,330","4,497"
60624,38105,"13,298","1,248"
60625,78651,"29,482","2,212"
60626,50139,"29,565","1,452"
60628,72202,"23,791","1,717"
60629,113916,"37,706","5,431"
60630,54093,"18,971","1,335"
60631,28641,"13,315",663
60632,91326,"30,937","4,648"
60633,12927,"6,371",534
60634,74298,"30,249","2,586"
60636,40916,"10,943","1,100"
60637,49503,"20,716",934
60638,55026,"20,169","2,103"
60639,90407,"36,126","4,785"
60640,65790,"36,184","1,290"
60641,71663,"30,507","2,519"
60642,18480,"9,490",395
60643,49952,"23,727","1,222"
60644,48648,"21,530","1,645"
60645,45274,"19,423","1,457"
60646,27177,"10,421",603
60647,87291,"41,585","2,298"
60649,46650,"18,430","1,168"
60651,64267,"22,955","2,559"
60652,40959,"15,642","1,666"
60653,29908,"15,752",785
60654,14875,"8,140",357
60655,28550,"11,099",671
60656,27613,"9,279",630
60657,65996,"28,259",983
60659,38104,"11,832","1,131"
60660,42752,"15,815",770
60661,7792,"3,921",153
