NAME,Cases
"Statewide Unallocated, Alabama",0
"Autauga County, Alabama",886
"Baldwin County, Alabama",2196
"Barbour County, Alabama",518
"Bibb County, Alabama",287
"Blount County, Alabama",547
"Bullock County, Alabama",407
"Butler County, Alabama",701
"Calhoun County, Alabama",891
"Chambers County, Alabama",782
"Cherokee County, Alabama",184
"Chilton County, Alabama",523
"Choctaw County, Alabama",246
"Clarke County, Alabama",407
"Clay County, Alabama",137
"Cleburne County, Alabama",82
"Coffee County, Alabama",565
"Colbert County, Alabama",816
"Conecuh County, Alabama",304
"Coosa County, Alabama",77
"Covington County, Alabama",624
"Crenshaw County, Alabama",210
"Cullman County, Alabama",879
"Dale County, Alabama",572
"Dallas County, Alabama",1205
"DeKalb County, Alabama",1377
"Elmore County, Alabama",1353
"Escambia County, Alabama",728
"Etowah County, Alabama",1471
"Fayette County, Alabama",129
"Franklin County, Alabama",1050
"Geneva County, Alabama",161
"Greene County, Alabama",225
"Hale County, Alabama",408
"Henry County, Alabama",208
"Houston County, Alabama",968
"Jackson County, Alabama",604
"Jefferson County, Alabama",9400
"Lamar County, Alabama",147
"Lauderdale County, Alabama",818
"Lawrence County, Alabama",214
"Lee County, Alabama",2202
"Limestone County, Alabama",940
"Lowndes County, Alabama",532
"Macon County, Alabama",276
"Madison County, Alabama",3792
"Marengo County, Alabama",440
"Marion County, Alabama",453
"Marshall County, Alabama",2494
"Mobile County, Alabama",6473
"Monroe County, Alabama",359
"Montgomery County, Alabama",5397
"Morgan County, Alabama",1808
"Perry County, Alabama",362
"Pickens County, Alabama",315
"Pike County, Alabama",570
"Randolph County, Alabama",347
"Russell County, Alabama",984
"St. Clair County, Alabama",928
"Shelby County, Alabama",2482
"Sumter County, Alabama",326
"Talladega County, Alabama",705
"Tallapoosa County, Alabama",751
"Tuscaloosa County, Alabama",3308
"Walker County, Alabama",1290
"Washington County, Alabama",238
"Wilcox County, Alabama",369
"Winston County, Alabama",365
"Statewide Unallocated, Alaska",2
"Aleutians East Borough, Alaska",1
"Aleutians West Census Area, Alaska",1
"Municipality of Anchorage, Alaska",1068
"Bethel Census Area, Alaska",17
"Bristol Bay Borough, Alaska",0
"Denali Borough, Alaska",1
"Dillingham Census Area, Alaska",0
"Fairbanks North Star Borough, Alaska",331
"Haines Borough, Alaska",3
"Hoonah-Angoon Census Area, Alaska",0
"City and Borough of Juneau, Alaska",71
"Kenai Peninsula Borough, Alaska",255
"Ketchikan Gateway Borough, Alaska",28
"Kodiak Island Borough, Alaska",5
"Kusilvak Census Area, Alaska",3
"Lake and Peninsula Borough, Alaska",6
"Matanuska-Susitna Borough, Alaska",205
"Nome Census Area, Alaska",16
"North Slope Borough, Alaska",8
"Northwest Arctic Borough, Alaska",9
"Petersburg Census Area, Alaska",6
"Prince of Wales-Hyder Census Area, Alaska",2
"Sitka City and Borough, Alaska",18
"Skagway Municipality, Alaska",0
"Southeast Fairbanks Census Area, Alaska",12
"Valdez-Cordova Census Area, Alaska",29
"Wade Hampton Census Area, Alaska",0
"Wrangell City and Borough, Alaska",3
"Yakutat City and Borough, Alaska",0
"Yukon-Koyukuk Census Area, Alaska",32
"Statewide Unallocated, Arizona",0
"Apache County, Arizona",2797
"Cochise County, Arizona",1296
"Coconino County, Arizona",2736
"Gila County, Arizona",600
"Graham County, Arizona",314
"Greenlee County, Arizona",39
"La Paz County, Arizona",445
"Maricopa County, Arizona",100543
"Mohave County, Arizona",2464
"Navajo County, Arizona",4898
"Pima County, Arizona",13990
"Pinal County, Arizona",6910
"Santa Cruz County, Arizona",2401
"Yavapai County, Arizona",1463
"Yuma County, Arizona",9713
"Statewide Unallocated, Arkansas",1266
"Arkansas County, Arkansas",146
"Ashley County, Arkansas",142
"Baxter County, Arkansas",48
"Benton County, Arkansas",3985
"Boone County, Arkansas",83
"Bradley County, Arkansas",104
"Calhoun County, Arkansas",8
"Carroll County, Arkansas",294
"Chicot County, Arkansas",266
"Clark County, Arkansas",107
"Clay County, Arkansas",94
"Cleburne County, Arkansas",160
"Cleveland County, Arkansas",49
"Columbia County, Arkansas",147
"Conway County, Arkansas",117
"Craighead County, Arkansas",828
"Crawford County, Arkansas",379
"Crittenden County, Arkansas",994
"Cross County, Arkansas",124
"Dallas County, Arkansas",22
"Desha County, Arkansas",117
"Drew County, Arkansas",117
"Faulkner County, Arkansas",970
"Franklin County, Arkansas",60
"Fulton County, Arkansas",21
"Garland County, Arkansas",549
"Grant County, Arkansas",94
"Greene County, Arkansas",191
"Hempstead County, Arkansas",145
"Hot Spring County, Arkansas",1367
"Howard County, Arkansas",209
"Independence County, Arkansas",126
"Izard County, Arkansas",29
"Jackson County, Arkansas",47
"Jefferson County, Arkansas",1069
"Johnson County, Arkansas",515
"Lafayette County, Arkansas",41
"Lawrence County, Arkansas",148
"Lee County, Arkansas",867
"Lincoln County, Arkansas",1132
"Little River County, Arkansas",72
"Logan County, Arkansas",112
"Lonoke County, Arkansas",276
"Madison County, Arkansas",238
"Marion County, Arkansas",17
"Miller County, Arkansas",368
"Mississippi County, Arkansas",489
"Monroe County, Arkansas",36
"Montgomery County, Arkansas",16
"Nevada County, Arkansas",117
"Newton County, Arkansas",18
"Ouachita County, Arkansas",55
"Perry County, Arkansas",39
"Phillips County, Arkansas",219
"Pike County, Arkansas",43
"Poinsett County, Arkansas",109
"Polk County, Arkansas",106
"Pope County, Arkansas",937
"Prairie County, Arkansas",52
"Pulaski County, Arkansas",3923
"Randolph County, Arkansas",115
"St. Francis County, Arkansas",968
"Saline County, Arkansas",637
"Scott County, Arkansas",21
"Searcy County, Arkansas",20
"Sebastian County, Arkansas",1214
"Sevier County, Arkansas",880
"Sharp County, Arkansas",83
"Stone County, Arkansas",37
"Union County, Arkansas",335
"Van Buren County, Arkansas",40
"Washington County, Arkansas",5350
"White County, Arkansas",182
"Woodruff County, Arkansas",17
"Yell County, Arkansas",928
"Statewide Unallocated, California",0
"Grand Princess Cruise Ship, California",21
"Alameda County, California",9643
"Alpine County, California",2
"Amador County, California",65
"Butte County, California",683
"Calaveras County, California",94
"Colusa County, California",242
"Contra Costa County, California",6202
"Del Norte County, California",79
"El Dorado County, California",486
"Fresno County, California",11412
"Glenn County, California",251
"Humboldt County, California",200
"Imperial County, California",8799
"Inyo County, California",40
"Kern County, California",11188
"Kings County, California",3600
"Lake County, California",158
"Lassen County, California",48
"Los Angeles County, California",164870
"Madera County, California",1530
"Marin County, California",3294
"Mariposa County, California",41
"Mendocino County, California",227
"Merced County, California",2994
"Modoc County, California",0
"Mono County, California",91
"Monterey County, California",3545
"Napa County, California",685
"Nevada County, California",242
"Orange County, California",31743
"Placer County, California",1479
"Plumas County, California",27
"Riverside County, California",31982
"Sacramento County, California",7971
"San Benito County, California",494
"San Bernardino County, California",25775
"San Diego County, California",25107
"San Francisco County, California",5459
"San Joaquin County, California",9595
"San Luis Obispo County, California",1393
"San Mateo County, California",4776
"Santa Barbara County, California",5282
"Santa Clara County, California",8321
"Santa Cruz County, California",848
"Shasta County, California",268
"Sierra County, California",1
"Siskiyou County, California",55
"Solano County, California",2982
"Sonoma County, California",2241
"Stanislaus County, California",6984
"Sutter County, California",567
"Tehama County, California",165
"Trinity County, California",3
"Tulare County, California",7603
"Tuolumne County, California",109
"Ventura County, California",6049
"Yolo County, California",1225
"Yuba County, California",319
"Statewide Unallocated, Colorado",18
"Adams County, Colorado",5248
"Alamosa County, Colorado",214
"Arapahoe County, Colorado",6197
"Archuleta County, Colorado",24
"Baca County, Colorado",14
"Bent County, Colorado",5
"Boulder County, Colorado",1683
"Broomfield County and City, Colorado",371
"Chaffee County, Colorado",220
"Cheyenne County, Colorado",7
"Clear Creek County, Colorado",24
"Conejos County, Colorado",21
"Costilla County, Colorado",22
"Crowley County, Colorado",73
"Custer County, Colorado",10
"Delta County, Colorado",92
"Denver County, Colorado",8650
"Dolores County, Colorado",2
"Douglas County, Colorado",1410
"Eagle County, Colorado",884
"Elbert County, Colorado",75
"El Paso County, Colorado",3786
"Fremont County, Colorado",82
"Garfield County, Colorado",561
"Gilpin County, Colorado",13
"Grand County, Colorado",39
"Gunnison County, Colorado",216
"Hinsdale County, Colorado",3
"Huerfano County, Colorado",5
"Jackson County, Colorado",8
"Jefferson County, Colorado",3395
"Kiowa County, Colorado",0
"Kit Carson County, Colorado",36
"Lake County, Colorado",60
"La Plata County, Colorado",174
"Larimer County, Colorado",1158
"Las Animas County, Colorado",11
"Lincoln County, Colorado",6
"Logan County, Colorado",643
"Mesa County, Colorado",199
"Mineral County, Colorado",17
"Moffat County, Colorado",20
"Montezuma County, Colorado",91
"Montrose County, Colorado",245
"Morgan County, Colorado",666
"Otero County, Colorado",30
"Ouray County, Colorado",12
"Park County, Colorado",35
"Phillips County, Colorado",17
"Pitkin County, Colorado",162
"Prowers County, Colorado",45
"Pueblo County, Colorado",535
"Rio Blanco County, Colorado",6
"Rio Grande County, Colorado",84
"Routt County, Colorado",93
"Saguache County, Colorado",106
"San Juan County, Colorado",2
"San Miguel County, Colorado",69
"Sedgwick County, Colorado",11
"Summit County, Colorado",311
"Teller County, Colorado",87
"Washington County, Colorado",46
"Weld County, Colorado",3293
"Yuma County, Colorado",56
"Statewide Unallocated, Connecticut",230
"Fairfield County, Connecticut",17164
"Hartford County, Connecticut",12147
"Litchfield County, Connecticut",1530
"Middlesex County, Connecticut",1362
"New Haven County, Connecticut",12825
"New London County, Connecticut",1364
"Tolland County, Connecticut",946
"Windham County, Connecticut",655
"Statewide Unallocated, Delaware",161
"Kent County, Delaware",2025
"New Castle County, Delaware",6231
"Sussex County, Delaware",5375
NA,11571
"Statewide Unallocated, Florida",433
"Alachua County, Florida",2890
"Baker County, Florida",254
"Bay County, Florida",2356
"Bradford County, Florida",212
"Brevard County, Florida",4658
"Broward County, Florida",45010
"Calhoun County, Florida",232
"Charlotte County, Florida",1560
"Citrus County, Florida",954
"Clay County, Florida",2330
"Collier County, Florida",8401
"Columbia County, Florida",1792
"DeSoto County, Florida",1123
"Dixie County, Florida",208
"Duval County, Florida",18357
"Escambia County, Florida",6461
"Flagler County, Florida",724
"Franklin County, Florida",82
"Gadsden County, Florida",1040
"Gilchrist County, Florida",283
"Glades County, Florida",292
"Gulf County, Florida",212
"Hamilton County, Florida",527
"Hardee County, Florida",733
"Hendry County, Florida",1451
"Hernando County, Florida",1296
"Highlands County, Florida",912
"Hillsborough County, Florida",25432
"Holmes County, Florida",348
"Indian River County, Florida",1767
"Jackson County, Florida",963
"Jefferson County, Florida",156
"Lafayette County, Florida",75
"Lake County, Florida",3757
"Lee County, Florida",13768
"Leon County, Florida",3480
"Levy County, Florida",424
"Liberty County, Florida",320
"Madison County, Florida",504
"Manatee County, Florida",7252
"Marion County, Florida",2927
"Martin County, Florida",3314
"Miami-Dade County, Florida",95068
"Monroe County, Florida",998
"Nassau County, Florida",865
"Okaloosa County, Florida",2134
"Okeechobee County, Florida",770
"Orange County, Florida",25254
"Osceola County, Florida",6844
"Palm Beach County, Florida",28267
"Pasco County, Florida",5363
"Pinellas County, Florida",14371
"Polk County, Florida",10545
"Putnam County, Florida",1083
"St. Johns County, Florida",2708
"St. Lucie County, Florida",4004
"Santa Rosa County, Florida",2147
"Sarasota County, Florida",4644
"Seminole County, Florida",5736
"Sumter County, Florida",902
"Suwannee County, Florida",940
"Taylor County, Florida",244
"Union County, Florida",169
"Volusia County, Florida",5803
"Wakulla County, Florida",419
"Walton County, Florida",931
"Washington County, Florida",389
"Statewide Unallocated, Georgia",15099
"Appling County, Georgia",455
"Atkinson County, Georgia",246
"Bacon County, Georgia",355
"Baker County, Georgia",46
"Baldwin County, Georgia",770
"Banks County, Georgia",196
"Barrow County, Georgia",817
"Bartow County, Georgia",1214
"Ben Hill County, Georgia",284
"Berrien County, Georgia",205
"Bibb County, Georgia",2390
"Bleckley County, Georgia",103
"Brantley County, Georgia",181
"Brooks County, Georgia",293
"Bryan County, Georgia",396
"Bulloch County, Georgia",834
"Burke County, Georgia",270
"Butts County, Georgia",379
"Calhoun County, Georgia",178
"Camden County, Georgia",423
"Candler County, Georgia",143
"Carroll County, Georgia",1414
"Catoosa County, Georgia",423
"Charlton County, Georgia",207
"Chatham County, Georgia",3723
"Chattahoochee County, Georgia",504
"Chattooga County, Georgia",101
"Cherokee County, Georgia",2267
"Clarke County, Georgia",1306
"Clay County, Georgia",68
"Clayton County, Georgia",3630
"Clinch County, Georgia",141
"Cobb County, Georgia",8966
"Coffee County, Georgia",1080
"Colquitt County, Georgia",1377
"Columbia County, Georgia",1323
"Cook County, Georgia",301
"Coweta County, Georgia",1056
"Crawford County, Georgia",68
"Crisp County, Georgia",340
"Dade County, Georgia",89
"Dawson County, Georgia",210
"Decatur County, Georgia",417
"DeKalb County, Georgia",10203
"Dodge County, Georgia",179
"Dooly County, Georgia",226
"Dougherty County, Georgia",2365
"Douglas County, Georgia",1853
"Early County, Georgia",337
"Echols County, Georgia",217
"Effingham County, Georgia",444
"Elbert County, Georgia",247
"Emanuel County, Georgia",271
"Evans County, Georgia",128
"Fannin County, Georgia",206
"Fayette County, Georgia",702
"Floyd County, Georgia",905
"Forsyth County, Georgia",1454
"Franklin County, Georgia",308
"Fulton County, Georgia",14169
"Gilmer County, Georgia",392
"Glascock County, Georgia",17
"Glynn County, Georgia",1948
"Gordon County, Georgia",723
"Grady County, Georgia",312
"Greene County, Georgia",185
"Gwinnett County, Georgia",14099
"Habersham County, Georgia",890
"Hall County, Georgia",4620
"Hancock County, Georgia",246
"Haralson County, Georgia",142
"Harris County, Georgia",530
"Hart County, Georgia",175
"Heard County, Georgia",104
"Henry County, Georgia",2301
"Houston County, Georgia",1297
"Irwin County, Georgia",117
"Jackson County, Georgia",667
"Jasper County, Georgia",103
"Jeff Davis County, Georgia",232
"Jefferson County, Georgia",319
"Jenkins County, Georgia",197
"Johnson County, Georgia",187
"Jones County, Georgia",199
"Lamar County, Georgia",173
"Lanier County, Georgia",185
"Laurens County, Georgia",537
"Lee County, Georgia",457
"Liberty County, Georgia",437
"Lincoln County, Georgia",91
"Long County, Georgia",90
"Lowndes County, Georgia",2344
"Lumpkin County, Georgia",222
"McDuffie County, Georgia",211
"McIntosh County, Georgia",110
"Macon County, Georgia",153
"Madison County, Georgia",239
"Marion County, Georgia",113
"Meriwether County, Georgia",293
"Miller County, Georgia",77
"Mitchell County, Georgia",528
"Monroe County, Georgia",324
"Montgomery County, Georgia",94
"Morgan County, Georgia",119
"Murray County, Georgia",412
"Muscogee County, Georgia",3550
"Newton County, Georgia",1263
"Oconee County, Georgia",314
"Oglethorpe County, Georgia",150
"Paulding County, Georgia",1110
"Peach County, Georgia",209
"Pickens County, Georgia",191
"Pierce County, Georgia",324
"Pike County, Georgia",146
"Polk County, Georgia",439
"Pulaski County, Georgia",70
"Putnam County, Georgia",279
"Quitman County, Georgia",25
"Rabun County, Georgia",134
"Randolph County, Georgia",229
"Richmond County, Georgia",2437
"Rockdale County, Georgia",926
"Schley County, Georgia",32
"Screven County, Georgia",138
"Seminole County, Georgia",77
"Spalding County, Georgia",676
"Stephens County, Georgia",442
"Stewart County, Georgia",235
"Sumter County, Georgia",680
"Talbot County, Georgia",108
"Taliaferro County, Georgia",5
"Tattnall County, Georgia",282
"Taylor County, Georgia",54
"Telfair County, Georgia",226
"Terrell County, Georgia",268
