NAME,County,State,State_abb,Cases,Deaths,Population,case_fatality,death_rate,case_rate
"Statewide Unallocated, Illinois",Statewide Unallocated,Illinois,IL,41,0,0,0,NA,NA
"Adams County, Illinois",Adams County,Illinois,IL,286,1,65435,0.35,1.528,437.075
"Alexander County, Illinois",Alexander County,Illinois,IL,32,0,5761,0,0,555.459
"Bond County, Illinois",Bond County,Illinois,IL,29,1,16426,3.448,6.088,176.549
"Boone County, Illinois",Boone County,Illinois,IL,663,21,53544,3.167,39.22,1238.234
"Brown County, Illinois",Brown County,Illinois,IL,11,0,6578,0,0,167.224
"Bureau County, Illinois",Bureau County,Illinois,IL,62,2,32628,3.226,6.13,190.021
"Calhoun County, Illinois",Calhoun County,Illinois,IL,3,0,4739,0,0,63.304
"Carroll County, Illinois",Carroll County,Illinois,IL,24,2,14305,8.333,13.981,167.774
"Cass County, Illinois",Cass County,Illinois,IL,160,11,12147,6.875,90.557,1317.198
"Champaign County, Illinois",Champaign County,Illinois,IL,1293,17,209689,1.315,8.107,616.627
"Christian County, Illinois",Christian County,Illinois,IL,60,4,32304,6.667,12.382,185.736
"Clark County, Illinois",Clark County,Illinois,IL,50,0,15441,0,0,323.813
"Clay County, Illinois",Clay County,Illinois,IL,9,0,13184,0,0,68.265
"Clinton County, Illinois",Clinton County,Illinois,IL,278,17,37562,6.115,45.259,740.11
"Coles County, Illinois",Coles County,Illinois,IL,261,17,50621,6.513,33.583,515.596
"Cook County, Illinois",Cook County,Illinois,IL,100124,4801,5150233,4.795,93.219,1944.067
"Crawford County, Illinois",Crawford County,Illinois,IL,26,0,18667,0,0,139.283
"Cumberland County, Illinois",Cumberland County,Illinois,IL,36,1,10766,2.778,9.289,334.386
"DeKalb County, Illinois",DeKalb County,Illinois,IL,728,24,104897,3.297,22.88,694.014
"De Witt County, Illinois",De Witt County,Illinois,IL,24,0,15638,0,0,153.472
"Douglas County, Illinois",Douglas County,Illinois,IL,89,0,19465,0,0,457.231
"DuPage County, Illinois",DuPage County,Illinois,IL,10531,500,922921,4.748,54.176,1141.051
"Edgar County, Illinois",Edgar County,Illinois,IL,18,0,17161,0,0,104.889
"Edwards County, Illinois",Edwards County,Illinois,IL,6,0,6395,0,0,93.823
"Effingham County, Illinois",Effingham County,Illinois,IL,48,1,34008,2.083,2.94,141.143
"Fayette County, Illinois",Fayette County,Illinois,IL,39,3,21336,7.692,14.061,182.79
"Ford County, Illinois",Ford County,Illinois,IL,33,1,12961,3.03,7.715,254.61
"Franklin County, Illinois",Franklin County,Illinois,IL,79,0,38469,0,0,205.36
"Fulton County, Illinois",Fulton County,Illinois,IL,20,0,34340,0,0,58.241
"Gallatin County, Illinois",Gallatin County,Illinois,IL,23,0,4828,0,0,476.388
"Greene County, Illinois",Greene County,Illinois,IL,13,0,12969,0,0,100.239
"Grundy County, Illinois",Grundy County,Illinois,IL,226,5,51054,2.212,9.794,442.669
"Hamilton County, Illinois",Hamilton County,Illinois,IL,11,0,8116,0,0,135.535
"Hancock County, Illinois",Hancock County,Illinois,IL,22,1,17708,4.545,5.647,124.238
"Hardin County, Illinois",Hardin County,Illinois,IL,9,0,3821,0,0,235.54
"Henderson County, Illinois",Henderson County,Illinois,IL,8,0,6646,0,0,120.373
"Henry County, Illinois",Henry County,Illinois,IL,146,1,48913,0.685,2.044,298.489
"Iroquois County, Illinois",Iroquois County,Illinois,IL,201,5,27114,2.488,18.441,741.314
"Jackson County, Illinois",Jackson County,Illinois,IL,434,19,56750,4.378,33.48,764.758
"Jasper County, Illinois",Jasper County,Illinois,IL,49,7,9610,14.286,72.841,509.886
"Jefferson County, Illinois",Jefferson County,Illinois,IL,138,17,37684,12.319,45.112,366.203
"Jersey County, Illinois",Jersey County,Illinois,IL,56,1,21773,1.786,4.593,257.199
"Jo Daviess County, Illinois",Jo Daviess County,Illinois,IL,80,1,21235,1.25,4.709,376.737
"Johnson County, Illinois",Johnson County,Illinois,IL,42,0,12417,0,0,338.246
"Kane County, Illinois",Kane County,Illinois,IL,8481,293,532403,3.455,55.033,1592.966
"Kankakee County, Illinois",Kankakee County,Illinois,IL,1534,66,109862,4.302,60.075,1396.297
"Kendall County, Illinois",Kendall County,Illinois,IL,1151,21,128990,1.825,16.28,892.317
"Knox County, Illinois",Knox County,Illinois,IL,199,1,49699,0.503,2.012,400.41
"Lake County, Illinois",Lake County,Illinois,IL,11079,435,696535,3.926,62.452,1590.588
"LaSalle County, Illinois",LaSalle County,Illinois,IL,362,18,108669,4.972,16.564,333.122
"Lawrence County, Illinois",Lawrence County,Illinois,IL,30,0,15678,0,0,191.351
"Lee County, Illinois",Lee County,Illinois,IL,120,2,34096,1.667,5.866,351.947
"Livingston County, Illinois",Livingston County,Illinois,IL,63,2,35648,3.175,5.61,176.728
"Logan County, Illinois",Logan County,Illinois,IL,57,0,28618,0,0,199.175
"McDonough County, Illinois",McDonough County,Illinois,IL,119,15,29682,12.605,50.536,400.916
"McHenry County, Illinois",McHenry County,Illinois,IL,2559,110,307774,4.299,35.741,831.454
"McLean County, Illinois",McLean County,Illinois,IL,418,15,171517,3.589,8.745,243.708
"Macon County, Illinois",Macon County,Illinois,IL,288,22,104009,7.639,21.152,276.899
"Macoupin County, Illinois",Macoupin County,Illinois,IL,100,3,44926,3,6.678,222.588
"Madison County, Illinois",Madison County,Illinois,IL,1604,71,262966,4.426,27,609.965
"Marion County, Illinois",Marion County,Illinois,IL,97,0,37205,0,0,260.718
"Marshall County, Illinois",Marshall County,Illinois,IL,15,0,11438,0,0,131.142
"Mason County, Illinois",Mason County,Illinois,IL,36,0,13359,0,0,269.481
"Massac County, Illinois",Massac County,Illinois,IL,24,0,13772,0,0,174.267
"Menard County, Illinois",Menard County,Illinois,IL,36,0,12196,0,0,295.179
"Mercer County, Illinois",Mercer County,Illinois,IL,39,0,15437,0,0,252.64
"Monroe County, Illinois",Monroe County,Illinois,IL,205,13,34637,6.341,37.532,591.853
"Montgomery County, Illinois",Montgomery County,Illinois,IL,112,3,28414,2.679,10.558,394.172
"Morgan County, Illinois",Morgan County,Illinois,IL,146,5,33658,3.425,14.855,433.775
"Moultrie County, Illinois",Moultrie County,Illinois,IL,33,0,14501,0,0,227.571
"Ogle County, Illinois",Ogle County,Illinois,IL,345,5,50643,1.449,9.873,681.239
"Peoria County, Illinois",Peoria County,Illinois,IL,878,32,179179,3.645,17.859,490.013
"Perry County, Illinois",Perry County,Illinois,IL,73,1,20916,1.37,4.781,349.015
"Piatt County, Illinois",Piatt County,Illinois,IL,30,0,16344,0,0,183.554
"Pike County, Illinois",Pike County,Illinois,IL,9,0,15561,0,0,57.837
"Pope County, Illinois",Pope County,Illinois,IL,2,0,4177,0,0,47.881
"Pulaski County, Illinois",Pulaski County,Illinois,IL,88,0,5335,0,0,1649.485
"Putnam County, Illinois",Putnam County,Illinois,IL,3,0,5739,0,0,52.274
"Randolph County, Illinois",Randolph County,Illinois,IL,374,7,31782,1.872,22.025,1176.767
"Richland County, Illinois",Richland County,Illinois,IL,9,0,15513,0,0,58.016
"Rock Island County, Illinois",Rock Island County,Illinois,IL,1375,30,141879,2.182,21.145,969.136
"St. Clair County, Illinois",St. Clair County,Illinois,IL,2883,152,259686,5.272,58.532,1110.187
"Saline County, Illinois",Saline County,Illinois,IL,60,0,23491,0,0,255.417
"Sangamon County, Illinois",Sangamon County,Illinois,IL,717,33,194672,4.603,16.952,368.312
"Schuyler County, Illinois",Schuyler County,Illinois,IL,14,0,6768,0,0,206.856
"Scott County, Illinois",Scott County,Illinois,IL,4,0,4951,0,0,80.792
"Shelby County, Illinois",Shelby County,Illinois,IL,31,1,21634,3.226,4.622,143.293
"Stark County, Illinois",Stark County,Illinois,IL,7,0,5342,0,0,131.037
"Stephenson County, Illinois",Stephenson County,Illinois,IL,292,6,44498,2.055,13.484,656.209
"Tazewell County, Illinois",Tazewell County,Illinois,IL,243,8,131803,3.292,6.07,184.366
