NAME,County,State,variable,estimate,label
"Adams County, Illinois",Adams, Illinois,B19083_001,0.4548,Gini Index
"Alexander County, Illinois",Alexander, Illinois,B19083_001,0.4596,Gini Index
"Bond County, Illinois",Bond, Illinois,B19083_001,0.4132,Gini Index
"Boone County, Illinois",Boone, Illinois,B19083_001,0.4381,Gini Index
"Brown County, Illinois",Brown, Illinois,B19083_001,0.3869,Gini Index
"Bureau County, Illinois",Bureau, Illinois,B19083_001,0.4153,Gini Index
"Calhoun County, Illinois",Calhoun, Illinois,B19083_001,0.4284,Gini Index
"Carroll County, Illinois",Carroll, Illinois,B19083_001,0.4172,Gini Index
"Cass County, Illinois",Cass, Illinois,B19083_001,0.4215,Gini Index
"Champaign County, Illinois",Champaign, Illinois,B19083_001,0.5097,Gini Index
"Christian County, Illinois",Christian, Illinois,B19083_001,0.4208,Gini Index
"Clark County, Illinois",Clark, Illinois,B19083_001,0.4275,Gini Index
"Clay County, Illinois",Clay, Illinois,B19083_001,0.4237,Gini Index
"Clinton County, Illinois",Clinton, Illinois,B19083_001,0.4191,Gini Index
"Coles County, Illinois",Coles, Illinois,B19083_001,0.4984,Gini Index
"Cook County, Illinois",Cook, Illinois,B19083_001,0.5069,Gini Index
"Crawford County, Illinois",Crawford, Illinois,B19083_001,0.4577,Gini Index
"Cumberland County, Illinois",Cumberland, Illinois,B19083_001,0.3961,Gini Index
"DeKalb County, Illinois",DeKalb, Illinois,B19083_001,0.4353,Gini Index
"De Witt County, Illinois",De Witt, Illinois,B19083_001,0.4021,Gini Index
"Douglas County, Illinois",Douglas, Illinois,B19083_001,0.4355,Gini Index
"DuPage County, Illinois",DuPage, Illinois,B19083_001,0.453,Gini Index
"Edgar County, Illinois",Edgar, Illinois,B19083_001,0.43,Gini Index
"Edwards County, Illinois",Edwards, Illinois,B19083_001,0.4141,Gini Index
"Effingham County, Illinois",Effingham, Illinois,B19083_001,0.4478,Gini Index
"Fayette County, Illinois",Fayette, Illinois,B19083_001,0.4366,Gini Index
"Ford County, Illinois",Ford, Illinois,B19083_001,0.4179,Gini Index
"Franklin County, Illinois",Franklin, Illinois,B19083_001,0.4535,Gini Index
"Fulton County, Illinois",Fulton, Illinois,B19083_001,0.433,Gini Index
"Gallatin County, Illinois",Gallatin, Illinois,B19083_001,0.4548,Gini Index
"Greene County, Illinois",Greene, Illinois,B19083_001,0.4345,Gini Index
"Grundy County, Illinois",Grundy, Illinois,B19083_001,0.3925,Gini Index
"Hamilton County, Illinois",Hamilton, Illinois,B19083_001,0.415,Gini Index
"Hancock County, Illinois",Hancock, Illinois,B19083_001,0.412,Gini Index
"Hardin County, Illinois",Hardin, Illinois,B19083_001,0.5009,Gini Index
"Henderson County, Illinois",Henderson, Illinois,B19083_001,0.4066,Gini Index
"Henry County, Illinois",Henry, Illinois,B19083_001,0.4212,Gini Index
"Iroquois County, Illinois",Iroquois, Illinois,B19083_001,0.4197,Gini Index
"Jackson County, Illinois",Jackson, Illinois,B19083_001,0.5355,Gini Index
"Jasper County, Illinois",Jasper, Illinois,B19083_001,0.4112,Gini Index
"Jefferson County, Illinois",Jefferson, Illinois,B19083_001,0.4579,Gini Index
"Jersey County, Illinois",Jersey, Illinois,B19083_001,0.409,Gini Index
"Jo Daviess County, Illinois",Jo Daviess, Illinois,B19083_001,0.4355,Gini Index
"Johnson County, Illinois",Johnson, Illinois,B19083_001,0.4437,Gini Index
"Kane County, Illinois",Kane, Illinois,B19083_001,0.4425,Gini Index
"Kankakee County, Illinois",Kankakee, Illinois,B19083_001,0.4326,Gini Index
"Kendall County, Illinois",Kendall, Illinois,B19083_001,0.3577,Gini Index
"Knox County, Illinois",Knox, Illinois,B19083_001,0.4519,Gini Index
"Lake County, Illinois",Lake, Illinois,B19083_001,0.487,Gini Index
"LaSalle County, Illinois",LaSalle, Illinois,B19083_001,0.4307,Gini Index
"Lawrence County, Illinois",Lawrence, Illinois,B19083_001,0.403,Gini Index
"Lee County, Illinois",Lee, Illinois,B19083_001,0.4344,Gini Index
"Livingston County, Illinois",Livingston, Illinois,B19083_001,0.4291,Gini Index
"Logan County, Illinois",Logan, Illinois,B19083_001,0.4073,Gini Index
"McDonough County, Illinois",McDonough, Illinois,B19083_001,0.4652,Gini Index
"McHenry County, Illinois",McHenry, Illinois,B19083_001,0.4062,Gini Index
"McLean County, Illinois",McLean, Illinois,B19083_001,0.4645,Gini Index
"Macon County, Illinois",Macon, Illinois,B19083_001,0.4646,Gini Index
"Macoupin County, Illinois",Macoupin, Illinois,B19083_001,0.4213,Gini Index
"Madison County, Illinois",Madison, Illinois,B19083_001,0.4396,Gini Index
"Marion County, Illinois",Marion, Illinois,B19083_001,0.4296,Gini Index
"Marshall County, Illinois",Marshall, Illinois,B19083_001,0.4158,Gini Index
"Mason County, Illinois",Mason, Illinois,B19083_001,0.4354,Gini Index
"Massac County, Illinois",Massac, Illinois,B19083_001,0.4359,Gini Index
"Menard County, Illinois",Menard, Illinois,B19083_001,0.4011,Gini Index
"Mercer County, Illinois",Mercer, Illinois,B19083_001,0.3958,Gini Index
"Monroe County, Illinois",Monroe, Illinois,B19083_001,0.4289,Gini Index
"Montgomery County, Illinois",Montgomery, Illinois,B19083_001,0.4325,Gini Index
"Morgan County, Illinois",Morgan, Illinois,B19083_001,0.4355,Gini Index
"Moultrie County, Illinois",Moultrie, Illinois,B19083_001,0.3951,Gini Index
"Ogle County, Illinois",Ogle, Illinois,B19083_001,0.4099,Gini Index
"Peoria County, Illinois",Peoria, Illinois,B19083_001,0.4756,Gini Index
"Perry County, Illinois",Perry, Illinois,B19083_001,0.4686,Gini Index
"Piatt County, Illinois",Piatt, Illinois,B19083_001,0.3953,Gini Index
"Pike County, Illinois",Pike, Illinois,B19083_001,0.4355,Gini Index
"Pope County, Illinois",Pope, Illinois,B19083_001,0.3977,Gini Index
"Pulaski County, Illinois",Pulaski, Illinois,B19083_001,0.4624,Gini Index
"Putnam County, Illinois",Putnam, Illinois,B19083_001,0.4115,Gini Index
"Randolph County, Illinois",Randolph, Illinois,B19083_001,0.43,Gini Index
"Richland County, Illinois",Richland, Illinois,B19083_001,0.4361,Gini Index
"Rock Island County, Illinois",Rock Island, Illinois,B19083_001,0.4353,Gini Index
"St. Clair County, Illinois",St. Clair, Illinois,B19083_001,0.4706,Gini Index
"Saline County, Illinois",Saline, Illinois,B19083_001,0.4732,Gini Index
"Sangamon County, Illinois",Sangamon, Illinois,B19083_001,0.4627,Gini Index
"Schuyler County, Illinois",Schuyler, Illinois,B19083_001,0.3868,Gini Index
"Scott County, Illinois",Scott, Illinois,B19083_001,0.4337,Gini Index
"Shelby County, Illinois",Shelby, Illinois,B19083_001,0.3856,Gini Index
"Stark County, Illinois",Stark, Illinois,B19083_001,0.4734,Gini Index
"Stephenson County, Illinois",Stephenson, Illinois,B19083_001,0.4446,Gini Index
"Tazewell County, Illinois",Tazewell, Illinois,B19083_001,0.4247,Gini Index
