NAME,County,State,variable,estimate,Sex,Age,Private_HI
"Adams County, Illinois",Adams, Illinois,B27002_004,1573,Male,Under 6 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_005,1076,Male,Under 6 years,No
"Adams County, Illinois",Adams, Illinois,B27002_007,3548,Male,6 to 18 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_008,1926,Male,6 to 18 years,No
"Adams County, Illinois",Adams, Illinois,B27002_010,1659,Male,19 to 25 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_011,698,Male,19 to 25 years,No
"Adams County, Illinois",Adams, Illinois,B27002_013,2680,Male,26 to 34 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_014,1103,Male,26 to 34 years,No
"Adams County, Illinois",Adams, Illinois,B27002_016,2809,Male,35 to 44 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_017,915,Male,35 to 44 years,No
"Adams County, Illinois",Adams, Illinois,B27002_019,3319,Male,45 to 54 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_020,801,Male,45 to 54 years,No
"Adams County, Illinois",Adams, Illinois,B27002_022,3751,Male,55 to 64 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_023,701,Male,55 to 64 years,No
"Adams County, Illinois",Adams, Illinois,B27002_025,1945,Male,65 to 74 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_026,1106,Male,65 to 74 years,No
"Adams County, Illinois",Adams, Illinois,B27002_028,1633,Male,75 years and over,Yes
"Adams County, Illinois",Adams, Illinois,B27002_029,746,Male,75 years and over,No
"Adams County, Illinois",Adams, Illinois,B27002_032,1530,Female,Under 6 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_033,972,Female,Under 6 years,No
"Adams County, Illinois",Adams, Illinois,B27002_035,3377,Female,6 to 18 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_036,1733,Female,6 to 18 years,No
"Adams County, Illinois",Adams, Illinois,B27002_038,2091,Female,19 to 25 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_039,646,Female,19 to 25 years,No
"Adams County, Illinois",Adams, Illinois,B27002_041,2474,Female,26 to 34 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_042,1181,Female,26 to 34 years,No
"Adams County, Illinois",Adams, Illinois,B27002_044,2720,Female,35 to 44 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_045,974,Female,35 to 44 years,No
"Adams County, Illinois",Adams, Illinois,B27002_047,3529,Female,45 to 54 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_048,777,Female,45 to 54 years,No
"Adams County, Illinois",Adams, Illinois,B27002_050,3783,Female,55 to 64 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_051,788,Female,55 to 64 years,No
"Adams County, Illinois",Adams, Illinois,B27002_053,2040,Female,65 to 74 years,Yes
"Adams County, Illinois",Adams, Illinois,B27002_054,1450,Female,65 to 74 years,No
"Adams County, Illinois",Adams, Illinois,B27002_056,2195,Female,75 years and over,Yes
"Adams County, Illinois",Adams, Illinois,B27002_057,926,Female,75 years and over,No
"Alexander County, Illinois",Alexander, Illinois,B27002_004,96,Male,Under 6 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_005,224,Male,Under 6 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_007,167,Male,6 to 18 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_008,324,Male,6 to 18 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_010,104,Male,19 to 25 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_011,110,Male,19 to 25 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_013,111,Male,26 to 34 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_014,215,Male,26 to 34 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_016,176,Male,35 to 44 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_017,119,Male,35 to 44 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_019,228,Male,45 to 54 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_020,133,Male,45 to 54 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_022,267,Male,55 to 64 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_023,239,Male,55 to 64 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_025,164,Male,65 to 74 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_026,206,Male,65 to 74 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_028,107,Male,75 years and over,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_029,83,Male,75 years and over,No
"Alexander County, Illinois",Alexander, Illinois,B27002_032,70,Female,Under 6 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_033,200,Female,Under 6 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_035,133,Female,6 to 18 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_036,462,Female,6 to 18 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_038,135,Female,19 to 25 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_039,123,Female,19 to 25 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_041,99,Female,26 to 34 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_042,152,Female,26 to 34 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_044,96,Female,35 to 44 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_045,269,Female,35 to 44 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_047,208,Female,45 to 54 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_048,226,Female,45 to 54 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_050,315,Female,55 to 64 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_051,195,Female,55 to 64 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_053,145,Female,65 to 74 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_054,293,Female,65 to 74 years,No
"Alexander County, Illinois",Alexander, Illinois,B27002_056,163,Female,75 years and over,Yes
"Alexander County, Illinois",Alexander, Illinois,B27002_057,112,Female,75 years and over,No
"Bond County, Illinois",Bond, Illinois,B27002_004,384,Male,Under 6 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_005,91,Male,Under 6 years,No
"Bond County, Illinois",Bond, Illinois,B27002_007,953,Male,6 to 18 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_008,387,Male,6 to 18 years,No
"Bond County, Illinois",Bond, Illinois,B27002_010,539,Male,19 to 25 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_011,107,Male,19 to 25 years,No
"Bond County, Illinois",Bond, Illinois,B27002_013,474,Male,26 to 34 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_014,266,Male,26 to 34 years,No
"Bond County, Illinois",Bond, Illinois,B27002_016,741,Male,35 to 44 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_017,134,Male,35 to 44 years,No
"Bond County, Illinois",Bond, Illinois,B27002_019,716,Male,45 to 54 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_020,317,Male,45 to 54 years,No
"Bond County, Illinois",Bond, Illinois,B27002_022,936,Male,55 to 64 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_023,192,Male,55 to 64 years,No
"Bond County, Illinois",Bond, Illinois,B27002_025,521,Male,65 to 74 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_026,241,Male,65 to 74 years,No
"Bond County, Illinois",Bond, Illinois,B27002_028,408,Male,75 years and over,Yes
"Bond County, Illinois",Bond, Illinois,B27002_029,97,Male,75 years and over,No
"Bond County, Illinois",Bond, Illinois,B27002_032,194,Female,Under 6 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_033,206,Female,Under 6 years,No
"Bond County, Illinois",Bond, Illinois,B27002_035,796,Female,6 to 18 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_036,454,Female,6 to 18 years,No
"Bond County, Illinois",Bond, Illinois,B27002_038,597,Female,19 to 25 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_039,246,Female,19 to 25 years,No
"Bond County, Illinois",Bond, Illinois,B27002_041,596,Female,26 to 34 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_042,181,Female,26 to 34 years,No
"Bond County, Illinois",Bond, Illinois,B27002_044,715,Female,35 to 44 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_045,175,Female,35 to 44 years,No
"Bond County, Illinois",Bond, Illinois,B27002_047,882,Female,45 to 54 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_048,210,Female,45 to 54 years,No
"Bond County, Illinois",Bond, Illinois,B27002_050,971,Female,55 to 64 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_051,242,Female,55 to 64 years,No
"Bond County, Illinois",Bond, Illinois,B27002_053,544,Female,65 to 74 years,Yes
"Bond County, Illinois",Bond, Illinois,B27002_054,249,Female,65 to 74 years,No
"Bond County, Illinois",Bond, Illinois,B27002_056,554,Female,75 years and over,Yes
"Bond County, Illinois",Bond, Illinois,B27002_057,159,Female,75 years and over,No
"Boone County, Illinois",Boone, Illinois,B27002_004,1111,Male,Under 6 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_005,880,Male,Under 6 years,No
"Boone County, Illinois",Boone, Illinois,B27002_007,4105,Male,6 to 18 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_008,1529,Male,6 to 18 years,No
"Boone County, Illinois",Boone, Illinois,B27002_010,1793,Male,19 to 25 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_011,326,Male,19 to 25 years,No
"Boone County, Illinois",Boone, Illinois,B27002_013,1914,Male,26 to 34 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_014,834,Male,26 to 34 years,No
"Boone County, Illinois",Boone, Illinois,B27002_016,2869,Male,35 to 44 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_017,466,Male,35 to 44 years,No
"Boone County, Illinois",Boone, Illinois,B27002_019,3394,Male,45 to 54 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_020,486,Male,45 to 54 years,No
"Boone County, Illinois",Boone, Illinois,B27002_022,2693,Male,55 to 64 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_023,713,Male,55 to 64 years,No
"Boone County, Illinois",Boone, Illinois,B27002_025,1350,Male,65 to 74 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_026,888,Male,65 to 74 years,No
"Boone County, Illinois",Boone, Illinois,B27002_028,1051,Male,75 years and over,Yes
"Boone County, Illinois",Boone, Illinois,B27002_029,236,Male,75 years and over,No
"Boone County, Illinois",Boone, Illinois,B27002_032,1045,Female,Under 6 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_033,778,Female,Under 6 years,No
"Boone County, Illinois",Boone, Illinois,B27002_035,3550,Female,6 to 18 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_036,1604,Female,6 to 18 years,No
"Boone County, Illinois",Boone, Illinois,B27002_038,1595,Female,19 to 25 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_039,689,Female,19 to 25 years,No
"Boone County, Illinois",Boone, Illinois,B27002_041,1548,Female,26 to 34 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_042,995,Female,26 to 34 years,No
"Boone County, Illinois",Boone, Illinois,B27002_044,2755,Female,35 to 44 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_045,608,Female,35 to 44 years,No
"Boone County, Illinois",Boone, Illinois,B27002_047,3210,Female,45 to 54 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_048,816,Female,45 to 54 years,No
"Boone County, Illinois",Boone, Illinois,B27002_050,2380,Female,55 to 64 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_051,845,Female,55 to 64 years,No
"Boone County, Illinois",Boone, Illinois,B27002_053,1440,Female,65 to 74 years,Yes
"Boone County, Illinois",Boone, Illinois,B27002_054,1134,Female,65 to 74 years,No
"Boone County, Illinois",Boone, Illinois,B27002_056,1229,Female,75 years and over,Yes
"Boone County, Illinois",Boone, Illinois,B27002_057,365,Female,75 years and over,No
"Brown County, Illinois",Brown, Illinois,B27002_004,149,Male,Under 6 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_005,38,Male,Under 6 years,No
"Brown County, Illinois",Brown, Illinois,B27002_007,238,Male,6 to 18 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_008,88,Male,6 to 18 years,No
"Brown County, Illinois",Brown, Illinois,B27002_010,197,Male,19 to 25 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_011,31,Male,19 to 25 years,No
"Brown County, Illinois",Brown, Illinois,B27002_013,255,Male,26 to 34 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_014,44,Male,26 to 34 years,No
"Brown County, Illinois",Brown, Illinois,B27002_016,209,Male,35 to 44 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_017,78,Male,35 to 44 years,No
"Brown County, Illinois",Brown, Illinois,B27002_019,254,Male,45 to 54 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_020,111,Male,45 to 54 years,No
"Brown County, Illinois",Brown, Illinois,B27002_022,263,Male,55 to 64 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_023,73,Male,55 to 64 years,No
"Brown County, Illinois",Brown, Illinois,B27002_025,100,Male,65 to 74 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_026,119,Male,65 to 74 years,No
"Brown County, Illinois",Brown, Illinois,B27002_028,90,Male,75 years and over,Yes
"Brown County, Illinois",Brown, Illinois,B27002_029,76,Male,75 years and over,No
"Brown County, Illinois",Brown, Illinois,B27002_032,80,Female,Under 6 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_033,44,Female,Under 6 years,No
"Brown County, Illinois",Brown, Illinois,B27002_035,323,Female,6 to 18 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_036,118,Female,6 to 18 years,No
"Brown County, Illinois",Brown, Illinois,B27002_038,109,Female,19 to 25 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_039,29,Female,19 to 25 years,No
"Brown County, Illinois",Brown, Illinois,B27002_041,224,Female,26 to 34 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_042,65,Female,26 to 34 years,No
"Brown County, Illinois",Brown, Illinois,B27002_044,191,Female,35 to 44 years,Yes
"Brown County, Illinois",Brown, Illinois,B27002_045,114,Female,35 to 44 years,No
"Brown County, Illinois",Brown, Illinois,B27002_047,263,Female,45 to 54 years,Yes
