date,zipcode,confirmed_cases,confirmed_cases_change,confirmed_cases_change_pct,total_tested,total_tested_change,total_tested_change_pct,pct_population_moe,below_moe_threshold,cases_per_capita,cases_per_1000,confirmed_cases_unknown,confirmed_cases_less_than_20,confirmed_cases_20_to_29,confirmed_cases_30_to_39,confirmed_cases_40_to_49,confirmed_cases_50_to_59,confirmed_cases_60_to_69,confirmed_cases_70_to_79,confirmed_cases_80_or_more,total_tested_unknown,total_tested_less_than_20,total_tested_20_to_29,total_tested_30_to_39,total_tested_40_to_49,total_tested_50_to_59,total_tested_60_to_69,total_tested_70_to_79,total_tested_80_or_more,confirmed_cases_female,confirmed_cases_male,confirmed_cases_unknownleftblank,total_tested_female,total_tested_male,total_tested_unknownleftblank,confirmed_cases_aian,confirmed_cases_asian,confirmed_cases_black,confirmed_cases_hispanic,confirmed_cases_leftblank,confirmed_cases_nhpi,confirmed_cases_other,confirmed_cases_white,total_tested_aian,total_tested_asian,total_tested_black,total_tested_hispanic,total_tested_leftblank,total_tested_nhpi,total_tested_other,total_tested_white
9/30/2020,62999,22,0,0,450,7,1.58,0.13,FALSE,,,0,0,0,0,0,0,0,0,0,0,44,78,58,72,66,61,44,27,14,0,0,247,137,66,0,0,0,0,7,0,0,15,0,0,0,0,160,0,6,280
9/30/2020,62997,8,0,0,156,1,0.65,0.3,FALSE,,,0,0,0,0,0,0,0,0,0,0,30,19,34,32,17,16,0,0,0,0,0,102,49,0,0,0,0,0,0,0,0,0,0,0,0,8,54,0,6,86
9/30/2020,62995,65,0,0,1051,5,0.48,0.06,TRUE,0.01,10.96,0,0,0,11,15,12,9,7,0,0,95,151,178,171,161,154,91,50,21,42,0,461,488,102,0,0,8,8,7,0,0,42,0,12,47,41,386,0,16,548
9/30/2020,62994,10,0,0,182,0,0,0.21,FALSE,,,0,0,0,0,0,0,0,0,0,0,31,31,27,22,32,17,18,0,0,6,0,93,46,43,0,0,0,0,0,0,0,10,0,0,0,0,75,0,0,107
9/30/2020,62992,99,0,0,588,8,1.38,0.25,FALSE,,,0,0,30,27,29,6,0,0,0,0,30,162,166,125,60,33,9,0,0,75,19,111,336,141,0,0,0,68,13,0,0,13,0,0,81,173,168,0,7,155
9/30/2020,62990,14,0,0,199,10,5.29,0.21,FALSE,,,0,0,0,0,0,0,0,6,0,0,21,34,17,16,36,26,38,11,6,6,0,94,96,9,0,0,0,0,6,0,0,8,0,0,0,0,148,0,0,48
9/30/2020,62988,20,0,0,276,7,2.6,0.15,FALSE,,,0,0,0,0,0,0,7,0,0,0,20,38,40,37,38,77,18,8,15,0,0,186,71,19,0,0,0,0,7,0,0,10,0,0,23,0,138,0,0,113
9/30/2020,62987,8,1,14.29,260,2,0.78,0.23,FALSE,,,0,0,0,0,0,0,0,0,0,0,24,33,36,39,40,60,25,0,0,0,0,133,89,38,0,0,0,0,0,0,0,7,0,0,0,0,96,0,7,155
9/30/2020,62985,13,0,0,162,1,0.62,0.17,FALSE,,,0,0,0,0,0,6,0,0,0,0,16,16,17,21,24,41,20,7,0,0,0,83,52,27,0,0,0,0,0,0,0,8,0,9,0,0,77,0,0,71
9/30/2020,62984,23,1,4.55,327,5,1.55,0.1,FALSE,,,0,6,0,0,6,0,0,0,0,0,68,38,43,55,41,40,33,9,13,9,0,184,121,22,0,0,0,0,0,0,0,21,0,0,0,0,94,0,0,226
