ZIP,Population,Cases
40202,6772,226
40203,19694,236
40204,14236,155
40205,23678,223
40206,18865,191
40207,29745,389
40208,13227,234
40209,,
40210,14822,209
40211,22612,312
40212,17685,223
40213,16796,252
40214,45291,759
40215,22287,303
40216,40746,641
40217,12507,126
40218,31658,589
40219,38032,709
40220,33109,429
40222,21359,294
40223,22011,245
40228,15743,253
40229,36852,441
40231,,
40241,28988,321
40242,10930,140
40243,10210,107
40245,30109,396
40258,26465,312
40272,37394,380
40280,,
40291,35427,462
40299,38371,464
