ZIP,Cases
55001,22
55002,0
55003,19
55005,27
55006,10
55007,6
55008,63
55009,65
55010,0
55011,83
55012,17
55013,42
55014,288
55016,461
55017,<=5
55018,<=5
55019,6
55020,24
55021,949
55024,330
55025,203
55026,0
55027,11
55029,0
55030,8
55031,12
55032,12
55033,304
55036,<=5
55037,8
55038,199
55040,87
55041,31
55042,149
55043,21
55044,700
55045,39
55046,27
55047,18
55049,20
55051,60
55052,15
55053,<=5
55054,23
55055,66
55056,79
55057,205
55060,393
55063,26
55065,<=5
55066,80
55067,0
55068,366
55069,18
55070,71
55071,94
55072,<=5
55073,10
55074,16
55075,386
55076,333
55077,256
55078,0
55079,39
55080,13
55082,356
55083,0
55084,10
55085,<=5
55087,<=5
55088,14
55089,17
55090,<=5
55092,60
55101,105
55102,284
55103,321
55104,788
55105,195
55106,1378
55107,348
55108,229
55109,654
55110,419
55111,<=5
55112,792
55113,673
55114,98
55115,119
55116,377
55117,982
55118,581
55119,830
55120,66
55121,172
55122,466
55123,301
55124,786
55125,579
55126,256
55127,201
55128,455
55129,403
55130,555
55133,0
55144,<=5
55145,0
55146,0
55150,<=5
55155,<=5
55161,0
55164,<=5
55165,0
55166,0
55168,<=5
55169,0
55170,0
55171,0
55172,0
55175,0
55177,0
55187,<=5
55188,0
55191,0
55301,153
55302,43
55303,626
55304,442
55305,272
55306,329
55307,34
55308,53
55309,164
55310,11
55311,376
55312,7
55313,239
55314,7
55315,83
55316,342
55317,240
55318,403
55319,24
55320,42
55321,14
55322,23
55323,0
55324,6
55325,25
55327,64
55328,75
55329,18
55330,357
55331,267
55332,<=5
55333,6
55334,54
55335,7
55336,181
55337,853
55338,10
55339,<=5
55340,48
55341,32
55342,13
55343,533
55344,264
55345,199
55346,183
55347,244
55348,0
55349,28
55350,116
55352,102
55353,15
55354,19
55355,49
55356,53
55357,32
55358,38
55359,30
55360,38
55361,0
55362,184
55363,59
55364,122
55365,0
55366,0
55367,9
55368,18
55369,540
55370,<=5
55371,93
55372,414
55373,44
55374,177
55375,33
55376,241
55377,0
55378,458
55379,871
55380,0
55381,7
55382,20
55383,0
55384,45
55385,7
55386,92
55387,174
55388,44
55389,12
55390,27
55391,214
55392,0
55393,0
55394,0
55395,17
55396,14
55397,13
55398,118
55399,0
55401,155
55402,16
55403,263
55404,1185
55405,344
55406,561
55407,1289
55408,981
55409,257
55410,166
55411,946
55412,466
55413,265
55414,464
55415,100
55416,506
55417,271
55418,549
55419,327
55420,530
55421,851
55422,501
55423,865
55424,150
55425,288
55426,439
55427,405
55428,1121
55429,822
55430,774
55431,288
55432,685
55433,546
55434,423
55435,236
55436,230
55437,284
55438,182
55439,98
55440,23
55441,262
55442,111
55443,966
55444,414
55445,274
55446,265
55447,223
55448,403
55449,426
55450,<=5
55454,400
55455,7
55458,<=5
55459,0
55460,0
55467,0
55468,0
55470,<=5
55472,0
55473,0
55474,0
55478,0
55479,0
55480,0
55483,0
55484,0
55485,0
55486,0
55487,0
55488,<=5
55550,0
55551,0
55552,0
55553,0
55554,0
55555,<=5
55556,0
55557,0
55558,0
55559,0
55560,0
55561,0
55562,0
55563,0
55564,0
55565,0
55566,0
55567,0
55568,0
55569,0
55570,0
55571,0
55572,0
55573,0
55574,0
55575,0
55576,0
55577,0
55578,0
55579,0
55580,0
55581,0
55582,0
55583,0
55584,0
55585,0
55586,0
55587,0
55588,0
55589,0
55590,0
55591,0
55592,0
55593,0
55594,0
55595,0
55596,0
55597,0
55598,0
55599,0
55601,<=5
55602,0
55603,<=5
55604,<=5
