NAME,County,State,variable,estimate,Sex,Age,HI_Coverage
"Adams County, Illinois",Adams, Illinois,B27001_004,2504,Male,Under 6 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_005,145,Male,Under 6 years,No
"Adams County, Illinois",Adams, Illinois,B27001_007,5210,Male,6 to 18 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_008,264,Male,6 to 18 years,No
"Adams County, Illinois",Adams, Illinois,B27001_010,2083,Male,19 to 25 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_011,274,Male,19 to 25 years,No
"Adams County, Illinois",Adams, Illinois,B27001_013,3387,Male,26 to 34 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_014,396,Male,26 to 34 years,No
"Adams County, Illinois",Adams, Illinois,B27001_016,3495,Male,35 to 44 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_017,229,Male,35 to 44 years,No
"Adams County, Illinois",Adams, Illinois,B27001_019,3822,Male,45 to 54 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_020,298,Male,45 to 54 years,No
"Adams County, Illinois",Adams, Illinois,B27001_022,4244,Male,55 to 64 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_023,208,Male,55 to 64 years,No
"Adams County, Illinois",Adams, Illinois,B27001_025,3051,Male,65 to 74 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_026,0,Male,65 to 74 years,No
"Adams County, Illinois",Adams, Illinois,B27001_028,2379,Male,75 years and over,Yes
"Adams County, Illinois",Adams, Illinois,B27001_029,0,Male,75 years and over,No
"Adams County, Illinois",Adams, Illinois,B27001_032,2455,Female,Under 6 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_033,47,Female,Under 6 years,No
"Adams County, Illinois",Adams, Illinois,B27001_035,4923,Female,6 to 18 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_036,187,Female,6 to 18 years,No
"Adams County, Illinois",Adams, Illinois,B27001_038,2596,Female,19 to 25 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_039,141,Female,19 to 25 years,No
