zip,type,primary_city,acceptable_cities,state,county,latitude,longitude
00501,UNIQUE,Holtsville,NA,NY,Suffolk County,40.81,-73.04
00544,UNIQUE,Holtsville,NA,NY,Suffolk County,40.81,-73.04
00601,STANDARD,Adjuntas,NA,PR,Adjuntas Municipio,18.16,-66.72
00602,STANDARD,Aguada,NA,PR,Aguada Municipio,18.38,-67.18
00603,STANDARD,Aguadilla,Ramey,PR,Aguadilla Municipio,18.43,-67.15
00604,PO BOX,Aguadilla,Ramey,PR,NA,18.43,-67.15
00605,PO BOX,Aguadilla,NA,PR,NA,18.43,-67.15
00606,STANDARD,Maricao,NA,PR,Maricao Municipio,18.18,-66.98
00610,STANDARD,Anasco,NA,PR,Anasco Municipio,18.28,-67.14
00611,PO BOX,Angeles,NA,PR,NA,18.28,-66.79
00612,STANDARD,Arecibo,NA,PR,Arecibo Municipio,18.45,-66.73
00613,PO BOX,Arecibo,NA,PR,NA,18.45,-66.73
00614,PO BOX,Arecibo,NA,PR,NA,18.45,-66.73
00616,STANDARD,Bajadero,NA,PR,Arecibo Municipio,18.42,-66.67
00617,STANDARD,Barceloneta,NA,PR,Barceloneta Municipio,18.45,-66.56
00622,STANDARD,Boqueron,NA,PR,Cabo Rojo Municipio,17.99,-67.15
00623,STANDARD,Cabo Rojo,NA,PR,Cabo Rojo Municipio,18.08,-67.14
00624,STANDARD,Penuelas,NA,PR,Penuelas Municipio,18.06,-66.72
00627,STANDARD,Camuy,NA,PR,Camuy Municipio,18.48,-66.84
00631,PO BOX,Castaner,Adjuntas,PR,Lares Municipio,18.19,-66.82
00636,PO BOX,Rosario,NA,PR,NA,18.15,-67.06
00637,STANDARD,Sabana Grande,NA,PR,Sabana Grande Municipio,18.08,-66.96
00638,STANDARD,Ciales,NA,PR,Ciales Municipio,18.33,-66.47
00641,STANDARD,Utuado,NA,PR,Utuado Municipio,18.27,-66.7
00646,STANDARD,Dorado,NA,PR,Dorado Municipio,18.47,-66.27
00647,STANDARD,Ensenada,NA,PR,Guanica Municipio,17.96,-66.94
00650,STANDARD,Florida,NA,PR,Florida Municipio,18.36,-66.56
00652,STANDARD,Garrochales,NA,PR,Arecibo Municipio,18.45,-66.6
00653,STANDARD,Guanica,NA,PR,Guanica Municipio,17.99,-66.89
00656,STANDARD,Guayanilla,NA,PR,Guayanilla Municipio,18.02,-66.79
00659,STANDARD,Hatillo,NA,PR,Hatillo Municipio,18.48,-66.82
00660,STANDARD,Hormigueros,NA,PR,Hormigueros Municipio,18.14,-67.12
