NAME,County,State,State_abb,Cases,Deaths,Population,case_fatality,death_rate,case_rate
"Statewide Unallocated, Illinois",Statewide Unallocated,Illinois,IL,41,0,0,0,NA,NA
"Adams County, Illinois",Adams County,Illinois,IL,286,1,65435,0.34965034965034963,1.5282341254680218,437.0749598838542
"Alexander County, Illinois",Alexander County,Illinois,IL,32,0,5761,0,0,555.4591216802638
"Bond County, Illinois",Bond County,Illinois,IL,29,1,16426,3.4482758620689653,6.08790941190795,176.5493729453306
"Boone County, Illinois",Boone County,Illinois,IL,663,21,53544,3.167420814479638,39.22008068130883,1238.2339757956074
"Brown County, Illinois",Brown County,Illinois,IL,11,0,6578,0,0,167.22408026755852
"Bureau County, Illinois",Bureau County,Illinois,IL,62,2,32628,3.225806451612903,6.129704548240775,190.02084099546403
"Calhoun County, Illinois",Calhoun County,Illinois,IL,3,0,4739,0,0,63.30449461911796
"Carroll County, Illinois",Carroll County,Illinois,IL,24,2,14305,8.333333333333332,13.98112548060119,167.77350576721426
"Cass County, Illinois",Cass County,Illinois,IL,160,11,12147,6.875000000000001,90.55733926072281,1317.19766197415
"Champaign County, Illinois",Champaign County,Illinois,IL,1293,17,209689,1.3147718484145399,8.107244538340113,616.62748165139794
"Christian County, Illinois",Christian County,Illinois,IL,60,4,32304,6.666666666666667,12.382367508667656,185.73551263001485
"Clark County, Illinois",Clark County,Illinois,IL,50,0,15441,0,0,323.8132245320899
"Clay County, Illinois",Clay County,Illinois,IL,9,0,13184,0,0,68.26456310679612
"Clinton County, Illinois",Clinton County,Illinois,IL,278,17,37562,6.115107913669065,45.25850593685107,740.1096853202705
"Coles County, Illinois",Coles County,Illinois,IL,261,17,50621,6.513409961685824,33.58290037731376,515.5962940281702
"Cook County, Illinois",Cook County,Illinois,IL,100124,4801,5150233,4.795054132875235,93.21908348612578,1944.0673849124883
"Crawford County, Illinois",Crawford County,Illinois,IL,26,0,18667,0,0,139.2832270852306
"Cumberland County, Illinois",Cumberland County,Illinois,IL,36,1,10766,2.7777777777777777,9.288500835965076,334.38603009474275
"DeKalb County, Illinois",DeKalb County,Illinois,IL,728,24,104897,3.296703296703297,22.879586642134665,694.0141281447515
"De Witt County, Illinois",De Witt County,Illinois,IL,24,0,15638,0,0,153.47231103721703
"Douglas County, Illinois",Douglas County,Illinois,IL,89,0,19465,0,0,457.23092730542
"DuPage County, Illinois",DuPage County,Illinois,IL,10531,500,922921,4.747887190200361,54.17581786523441,1141.051075877567
