NAME,County,State,variable,estimate,Sex,Age,Public_HI
"Adams County, Illinois",Adams, Illinois,B27003_004,1085,Male,Under 6 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_005,1564,Male,Under 6 years,No
"Adams County, Illinois",Adams, Illinois,B27003_007,1904,Male,6 to 18 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_008,3570,Male,6 to 18 years,No
"Adams County, Illinois",Adams, Illinois,B27003_010,465,Male,19 to 25 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_011,1892,Male,19 to 25 years,No
"Adams County, Illinois",Adams, Illinois,B27003_013,944,Male,26 to 34 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_014,2839,Male,26 to 34 years,No
"Adams County, Illinois",Adams, Illinois,B27003_016,880,Male,35 to 44 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_017,2844,Male,35 to 44 years,No
"Adams County, Illinois",Adams, Illinois,B27003_019,709,Male,45 to 54 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_020,3411,Male,45 to 54 years,No
"Adams County, Illinois",Adams, Illinois,B27003_022,911,Male,55 to 64 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_023,3541,Male,55 to 64 years,No
"Adams County, Illinois",Adams, Illinois,B27003_025,2954,Male,65 to 74 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_026,97,Male,65 to 74 years,No
"Adams County, Illinois",Adams, Illinois,B27003_028,2359,Male,75 years and over,Yes
"Adams County, Illinois",Adams, Illinois,B27003_029,20,Male,75 years and over,No
"Adams County, Illinois",Adams, Illinois,B27003_032,1143,Female,Under 6 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_033,1359,Female,Under 6 years,No
"Adams County, Illinois",Adams, Illinois,B27003_035,1895,Female,6 to 18 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_036,3215,Female,6 to 18 years,No
"Adams County, Illinois",Adams, Illinois,B27003_038,550,Female,19 to 25 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_039,2187,Female,19 to 25 years,No
"Adams County, Illinois",Adams, Illinois,B27003_041,1081,Female,26 to 34 years,Yes
