NAME,County,State,variable,estimate,label
"Adams County, Illinois",Adams, Illinois,B19101_002,604,"Less than $10,000"
"Adams County, Illinois",Adams, Illinois,B19101_003,315,"$10,000 to $14,999"
"Adams County, Illinois",Adams, Illinois,B19101_004,607,"$15,000 to $19,999"
"Adams County, Illinois",Adams, Illinois,B19101_005,600,"$20,000 to $24,999"
"Adams County, Illinois",Adams, Illinois,B19101_006,834,"$25,000 to $29,999"
"Adams County, Illinois",Adams, Illinois,B19101_007,778,"$30,000 to $34,999"
"Adams County, Illinois",Adams, Illinois,B19101_008,827,"$35,000 to $39,999"
"Adams County, Illinois",Adams, Illinois,B19101_009,630,"$40,000 to $44,999"
"Adams County, Illinois",Adams, Illinois,B19101_010,972,"$45,000 to $49,999"
"Adams County, Illinois",Adams, Illinois,B19101_011,1602,"$50,000 to $59,999"
"Adams County, Illinois",Adams, Illinois,B19101_012,2471,"$60,000 to $74,999"
"Adams County, Illinois",Adams, Illinois,B19101_013,2724,"$75,000 to $99,999"
"Adams County, Illinois",Adams, Illinois,B19101_014,2019,"$100,000 to $124,999"
"Adams County, Illinois",Adams, Illinois,B19101_015,1054,"$125,000 to $149,999"
"Adams County, Illinois",Adams, Illinois,B19101_016,851,"$150,000 to $199,999"
"Adams County, Illinois",Adams, Illinois,B19101_017,758,"$200,000 or more"
"Alexander County, Illinois",Alexander, Illinois,B19101_002,129,"Less than $10,000"
"Alexander County, Illinois",Alexander, Illinois,B19101_003,113,"$10,000 to $14,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_004,73,"$15,000 to $19,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_005,127,"$20,000 to $24,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_006,70,"$25,000 to $29,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_007,93,"$30,000 to $34,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_008,132,"$35,000 to $39,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_009,70,"$40,000 to $44,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_010,71,"$45,000 to $49,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_011,155,"$50,000 to $59,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_012,138,"$60,000 to $74,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_013,154,"$75,000 to $99,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_014,69,"$100,000 to $124,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_015,35,"$125,000 to $149,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_016,50,"$150,000 to $199,999"
"Alexander County, Illinois",Alexander, Illinois,B19101_017,8,"$200,000 or more"
"Bond County, Illinois",Bond, Illinois,B19101_002,105,"Less than $10,000"
"Bond County, Illinois",Bond, Illinois,B19101_003,76,"$10,000 to $14,999"
"Bond County, Illinois",Bond, Illinois,B19101_004,166,"$15,000 to $19,999"
"Bond County, Illinois",Bond, Illinois,B19101_005,106,"$20,000 to $24,999"
"Bond County, Illinois",Bond, Illinois,B19101_006,139,"$25,000 to $29,999"
"Bond County, Illinois",Bond, Illinois,B19101_007,147,"$30,000 to $34,999"
"Bond County, Illinois",Bond, Illinois,B19101_008,170,"$35,000 to $39,999"
"Bond County, Illinois",Bond, Illinois,B19101_009,125,"$40,000 to $44,999"
"Bond County, Illinois",Bond, Illinois,B19101_010,212,"$45,000 to $49,999"
"Bond County, Illinois",Bond, Illinois,B19101_011,297,"$50,000 to $59,999"
"Bond County, Illinois",Bond, Illinois,B19101_012,562,"$60,000 to $74,999"
"Bond County, Illinois",Bond, Illinois,B19101_013,797,"$75,000 to $99,999"
"Bond County, Illinois",Bond, Illinois,B19101_014,551,"$100,000 to $124,999"
"Bond County, Illinois",Bond, Illinois,B19101_015,245,"$125,000 to $149,999"
"Bond County, Illinois",Bond, Illinois,B19101_016,272,"$150,000 to $199,999"
"Bond County, Illinois",Bond, Illinois,B19101_017,144,"$200,000 or more"
"Boone County, Illinois",Boone, Illinois,B19101_002,416,"Less than $10,000"
"Boone County, Illinois",Boone, Illinois,B19101_003,222,"$10,000 to $14,999"
"Boone County, Illinois",Boone, Illinois,B19101_004,221,"$15,000 to $19,999"
"Boone County, Illinois",Boone, Illinois,B19101_005,571,"$20,000 to $24,999"
"Boone County, Illinois",Boone, Illinois,B19101_006,616,"$25,000 to $29,999"
